	MM-DD	LiturgicalProperName	Collect of the Day
39		Septuagesima	O LORD, we beseech thee favourably to hear the prayers of thy people: that we, who are justly punished for our offences; may be mercifully delivered by thy goodness, for the glory of thy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee and the Holy Spirit, ever one God, world without end. * Amen.
40		Sexagesima	O LORD God, who seest that we put not our trust in any thing that we do: mercifully grant; that by thy power we may be defended against all adversity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
41		Quinquagesima	O LORD, who hast taught us that all our doings without charity are nothing worth: send thy Holy Spirit, and pour into our hearts that most excellent gift of charity, the very bond of peace and of all virtues; without which whosoever liveth is counted dead before thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
42		Ash Wednesday	ALMIGHTY and everlasting God, who hatest nothing that thou hast made and dost forgive the sins of all those who are penitent: create and make in us new and contrite hearts, that we, worthily lamenting our sins and acknowledging our wretchedness, may obtain of thee, the God of all mercy, perfect remission and forgiveness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
43		Lent I	O LORD who for our sake didst fast forty days and forty nights: give us grace to use such abstinence, that, our flesh being subdued to the Spirit; we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
44		Lent Ember Wednesday	WE BESEECH thee, O Lord, graciously to  regard the devout prayers of thy people: that they, who by abstinence do mortify the deeds of the flesh, may by the fruit of good works be renewed in the spirit of their minds; through Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
45		Lent Ember Friday	WE BESEECH thee, O Lord, mercifully to have compassion on thy people: that they, who by thee are enabled to serve thee in all godliness, may ever be comforted by thy gracious and ready help; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.
46		Lent Ember Saturday	WE BESEECH thee, O Lord, graciously to hear the prayers of thy people: and of thy great goodness turn aside from them the scourges of thine anger; through Jesus Christ thy Son  our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
47		Lent II	ALMIGHTY God, who seest that we have no power of ourselves to help ourselves: keep us both outwardly in our bodies, and inwardly in our souls; that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
48		Lent II (alt)	O GOD, who before the Passion of thy Only Begotten Son didst reveal his glory upon the holy mount: grant unto us that we, beholding by faith the light of his countenance, may be strengthened to bear our cross, and be changed into his likeness from glory to glory; through the same Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
49		Lent III	WE BESEECH thee, almighty God, look upon the hearty desires of thy humble servants: and stretch forth the right hand of thy Majesty; to be our defence against all our enemies; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
50		Lent IV	GRANT, we beseech thee, almighty God: that we, who for our evil deeds do worthily deserve to be punished; by the comfort of thy grace may mercifully be relieved; through our Lord and Saviour Jesus Christ, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
51		Passion Sunday	WE BESEECH thee, almighty God, mercifully to look upon thy people: that by thy great goodness they may be governed and preserved evermore, both in body and soul; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
52		Passion Friday	O LORD in whose Passion, according to the prophecy of Simeon, the sword of sorrow did pierce the most loving soul of thy glorious Virgin Mother Mary: mercifully grant; that we, who devoutly call to mind the suffering whereby she was pierced, may, by the glorious merits and prayers of all the Saints who have stood beneath the Cross, obtain with gladness the benefits of thy Passion; who livest and reignest with God the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
53		Palm Sunday	ALMIGHTY and everlasting God, who, of thy tender love towards mankind, hast sent thy Son our Saviour Jesus Christ, to take upon him our flesh, and to suffer death upon the Cross, that all mankind should follow the example of his great humility: mercifully grant; that we may follow the example of his patience, and so be made partakers of his Resurrection; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
54		Holy Monday	ALMIGHTY God, whose most dear Son went not up to joy but first he suffered pain, and entered not into glory before he was crucified: mercifully grant; that we, walking in the way of the Cross, may find it none other than the way of life and peace; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
55		Holy Tuesday	O LORD God, whose blessed Son, our Saviour, gave his back to the smiters and hid not his face from shame: grant us grace to take joyfully the suffering of the present time, in full assurance of the glory that shall be revealed; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
56		Holy Wednesday	O GOD, who didst will that thy Son should suffer death upon the Cross that thou mightest deliver us from the snares of the enemy: grant that by the merits of his Passion and Death we may know the power of his Resurrection; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
57		Chrism Mass	O LORD God, who, for the regeneration of the nations that thou hast made, dost appoint priests to be thy ministers: grant unto us, that those who are set apart for this service may so persevere in obeying thy will; that in our time thy holy people may both increase in number and advance in virtue; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
58		Maundy Thursday	O GOD, who in a wonderful Sacrament hast left unto us a memorial of thy Passion: grant us, we beseech thee, so to venerate the sacred mysteries of thy Body and Blood; that we may ever know within ourselves the fruit of thy redemption; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
59		Good Friday	ALMIGHTY God, we beseech thee graciously to behold this thy family, for which our Lord Jesus Christ was contented to be betrayed, and given up into the hands of wicked men, and to suffer death upon the Cross; who now liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
60		Holy Saturday	GRANT, O Lord, that as we are baptized into the death of thy blessed Son our Saviour Jesus Christ: so by continual mortifying our corrupt affections we may be buried with him; and that, through the grave, and gate of death, we may pass to our joyful resurrection; for his merits, who died, and was buried, and rose again for us, thy Son Jesus Christ our Lord. * Amen.
61		Holy Saturday-B	O GOD, Creator of heaven and earth: grant that, as the crucified body of thy dear Son was laid in the tomb and rested on this holy Sabbath, so we may await with him the coming of the third day, and rise with him to newness of life; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
62		Easter Eve	O GOD, who dost illumine this most holy night with the glory of the Resurrection of the Lord: stir up, we pray thee, in thy Church, the spirit of adoption which thou hast given; that we, being regenerate both in body and soul, may render unto thee a pure service; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
63		Easter Sunday	ALMIGHTY God, who through thine Only Begotten Son Jesus Christ hast overcome death, and opened unto us the gate of everlasting life: we humbly beseech thee; that as by thy special grace thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect; through the same Jesus Christ thy Son, our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
64		Easter Monday	O GOD, whose blessed Son did manifest himself to his disciples in the breaking of bread: open, we pray thee, the eyes of our faith; that we may behold thee in all thy works; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
65		Easter Tuesday	O GOD, who by the glorious Resurrection of thy Son Jesus Christ destroyed death and brought life and immortality to  light: grant that we, who have been raised with him, may abide in his presence and rejoice in the hope of eternal glory; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
66		Easter Wednesday	O GOD, who dost gladden us with the yearly solemnity of the Resurrection of thy Son Jesus Christ our Lord: mercifully grant that we may so observe this temporal feast; that we may be found worthy to attain to everlasting felicity; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
67		Easter Thursday	ALMIGHTY and everlasting God, who in the Paschal Mystery hast established the new covenant of reconciliation: grant that all who have been reborn into the fellowship of Christ’s Body may show forth in their lives what they profess by their faith; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee in the unity of the Holy Spirit, ever one God, world without end. * Amen.
68		Easter Friday	O GOD, who hast united the diversity of nations in the confession of thy Name: grant that they who are born again in the font of Baptism, may be of one mind in faith and in godliness of life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
69		Easter Saturday	WE THANK thee, heavenly Father, for that thou hast delivered us from the dominion of sin and death and hast brought us unto the kingdom of thy Son; and we pray thee that, as by his death he hath recalled us to life, so by his love he may raise us to joys eternal; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
70		Easter II	ALMIGHTY Father, who hast given thine only Son to die for our sins, and to rise again for our justification: grant us so to put away the leaven of malice and wickedness; that we may always serve thee in pureness of living and truth; through the merits of the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
71		Easter III	ALMIGHTY God, who hast given thine only Son to be unto us both a sacrifice for sin, and also an example of godly life: give us grace that we may always most thankfully receive his inestimable benefit; and also daily endeavour ourselves to follow the blessed steps of his most holy life; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
72		Easter IV	ALMIGHTY God, who showest to them that be in error the light of thy truth, to the intent that they may return into the way of righteousness: grant unto all them that are admitted into the fellowship of Christ’s religion; that they may forsake those things that are contrary to their profession, and follow all such things as are agreeable to the same; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
73		Easter V	O ALMIGHTY God, who alone makest the minds of the faithful to be of one will: grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise; that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
74		Easter VI	O LORD, from whom all good things do come: grant to us thy humble servants; that by thy holy inspiration we may think those things that be good, and by thy merciful guiding may perform the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
75		Rogation Days-A	ASSIST us mercifully, O Lord, in these our supplications and prayers: and dispose the way of thy servants towards the attainment of everlasting salvation; that, among all the changes and chances of this mortal life, they may ever be defended by thy most gracious and ready help; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
76		Rogation Days-B	ALMIGHTY God, Lord of heaven and earth: we humbly pray that thy gracious providence may give and preserve to our use the harvests of the land and of the seas, and may prosper all who labour to gather them; that we, who constantly receive good things from thy hand, may always give thee thanks; through Jesus Christ our Lord, who liveth and reigneth with thee in the unity of the Holy Spirit, ever one God, world without end. * Amen.
77		Rogation Days-C	O ALMIGHTY God who hast created the earth for man, and man for thy glory: mercifully hear the supplications of thy people, and be mindful of thy covenant; that both the earth may yield her increase, and the good seed of thy word may bring forth abundantly, to the glory of thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.
78		Ascension Eve	ALMIGHTY God who by thy holy Apostle hast taught us to set our affection on things above: grant us so to labour in this life; as ever to be mindful of our citizenship in those heavenly places whither our Saviour Christ is gone before; to whom, with thee, O Father, and thee, O Holy Spirit, be all honour and glory, world without end. * Amen.
79		Ascension of Our Lord	GRANT, we beseech thee, almighty God: that like as we do believe thy Only Begotten Son our Lord Jesus Christ to have ascended into the heavens; so we may also in heart and mind thither ascend, and with him continually dwell; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
80		Sunday after Ascension	O GOD, the King of Glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: we beseech thee, leave us not comfortless; but send to us thy Holy Spirit to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before; who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
81		Pentecost Eve	GRANT, we beseech thee, almighty God: that the splendour of thy glory may shine forth upon us; and that the radiance of thy light, through the illumination of the Holy Spirit, may establish the hearts of them who by grace have been made regenerate; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
82		Whitsunday	O GOD, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: grant us by the same Spirit to have a right judgment in all things; and evermore to rejoice in his holy comfort; through the merits of Christ Jesus thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
83		Whitsun Monday	SEND, we beseech thee, almighty God, thy Holy Spirit into our hearts: that he may direct and rule us according to thy will, comfort us in our afflictions, defend us from all error, and lead us into the truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
84		Whitsun Tuesday	GRANT, we beseech thee, merciful God: that thy Church, being gathered together in unity by thy Holy Spirit; may manifest thy power among all peoples to the glory of thy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
85		Whitsun Ember Wednesday	WE BESEECH thee, O Lord, that the Comforter who proceedeth from thee may enlighten our minds: and lead us, as thy Son hath promised, into all truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
86		Whitsun Thursday	ALMIGHTY God, who on this day didst open the way of eternal life to every race and nation by the promised gift of thy Holy Spirit: shed abroad this gift throughout the world by the preaching of the Gospel, that it may reach to the ends of the earth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
87		Whitsun Ember Friday	MOST merciful God, we beseech thee: that thy Church, being gathered together in the Holy Spirit; may nevermore be disquieted by the assaults of her enemies; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
88		Whitsun Ember Saturday	ALMIGHTY God, the giver of all good gifts, who of thy divine providence hast appointed divers Orders in thy Church: give thy grace, we humbly beseech thee, to all who are (now) called to any office and ministry for thy people; and so fill them with the truth of thy doctrine and clothe them with holiness of life, that they may faithfully serve before thee, to the glory of thy great Name and for the benefit of thy holy Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
89		Most Holy Trinity	ALMIGHTY and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: we beseech thee; that this holy faith may evermore be our defence against all adversities; who livest and reignest, ever one God, world without end. * Amen.
90		Corpus Christi	O GOD, who in a wonderful Sacrament hast left unto us a memorial of thy Passion: grant us, we beseech thee, so to venerate the sacred mysteries of thy Body and Blood; that we may ever know within ourselves the fruit of thy redemption; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
91		Sacred Heart	O GOD, who hast suffered the Heart of thy Son to be wounded by our sins, and in that very Heart hast bestowed on us the abundant riches of thy love: grant, we beseech thee; that the devout homage of our hearts which we render unto him, may of thy mercy be deemed a recompense acceptable in thy sight; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
92		Trinity I	O GOD, the strength of all them that put their trust in thee: mercifully accept our prayers; and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping thy commandments we may please thee both in will and deed; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
93		Trinity II	O LORD, who never failest to help and govern them whom thou dost bring up in thy steadfast fear and love: keep us, we beseech thee, under the protection of thy good providence; and make us to have a perpetual fear and love of thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
94		Trinity III	O LORD, we beseech thee mercifully to hear us: and grant that we, to whom thou hast given an hearty desire to pray; may, by thy mighty aid, be defended and comforted in all dangers and adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.
95		Trinity IV	O GOD, the protector of all that trust in thee, without whom nothing is strong, nothing is holy: increase and multiply upon us thy mercy; that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal: grant this, O heavenly Father, for the sake of Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
96		Trinity V	GRANT, O Lord, we beseech thee: that the course of this world may be so peaceably ordered by thy governance; that thy Church may joyfully serve thee in all godly quietness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
97		Trinity VI	O GOD, who hast prepared for them that love thee such good things as pass man’s understanding: pour into our hearts such love toward thee; that we, loving thee in all things and above all things, may obtain thy promises, which exceed all that we can desire; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
