Psalm1.0	Psalm 1. Beatus vir, qui non abiit.	Psalm 1. Beatus vir, qui non abiit.	1000	1
Psalm2.12	12 Kiss the Son, lest he be angry, and so ye perish from the right way * if his wrath be kindled, (yea, but a little), blessed are all they that put their trust in him.	Kiss the Son, lest he be angry, and so ye perish from the right way * if his wrath be kindled, (yea, but a little), blessed are all they that put their trust in him.	2012	21
Psalm3.0	Psalm 3. Domine, quid multiplicati.	Psalm 3. Domine, quid multiplicati.	3000	22
Psalm3.1	1 LORD, how are they increased that trouble me * many are they that rise against me.	LORD, how are they increased that trouble me * many are they that rise against me.	3001	23
Psalm3.2	2 Many one there be that say of my soul * There is no help for him in his God.	Many one there be that say of my soul * There is no help for him in his God.	3002	24
Psalm3.3	3 But thou, O Lord, art my defender * thou art my worship, and the lifter up of my head.	But thou, O Lord, art my defender * thou art my worship, and the lifter up of my head.	3003	25
Psalm3.4	4 I did call upon the Lord with my voice * and he heard me out of his holy hill.	I did call upon the Lord with my voice * and he heard me out of his holy hill.	3004	26
Psalm3.5	5 I laid me down and slept, and rose up again * for the Lord sustained me.	I laid me down and slept, and rose up again * for the Lord sustained me.	3005	27
Psalm3.6	6 I will not be afraid for ten thousands of the people * that have set themselves against me round about.	I will not be afraid for ten thousands of the people * that have set themselves against me round about.	3006	28
Psalm3.7	7 Up, Lord, and help me, O my God * for thou smitest all mine enemies upon the cheekbone; thou hast broken the teeth of the ungodly.	Up, Lord, and help me, O my God * for thou smitest all mine enemies upon the cheekbone; thou hast broken the teeth of the ungodly.	3007	29
Psalm3.8	8 Salvation belongeth unto the Lord * and thy blessing is upon thy people.	Salvation belongeth unto the Lord * and thy blessing is upon thy people.	3008	30
Psalm4.0	Psalm 4. Cum invocarem.	Psalm 4. Cum invocarem.	4000	31
Psalm4.1	1 HEAR me when I call, O God of my righteousness * thou hast set me at liberty when I was in trouble; have mercy upon me, and hearken unto my prayer.	HEAR me when I call, O God of my righteousness * thou hast set me at liberty when I was in trouble; have mercy upon me, and hearken unto my prayer.	4001	32
Psalm4.2	2 O ye sons of men, how long will ye blaspheme mine honour * and have such pleasure in vanity, and seek after leasing?	O ye sons of men, how long will ye blaspheme mine honour * and have such pleasure in vanity, and seek after leasing?	4002	33
Psalm4.3	3 Know this also, that the Lord hath chosen to himself the man that is godly * when I call upon the Lord, he will hear me.	Know this also, that the Lord hath chosen to himself the man that is godly * when I call upon the Lord, he will hear me.	4003	34
Psalm4.4	4 Stand in awe, and sin not * commune with your own heart, and in your chamber, and be still.	Stand in awe, and sin not * commune with your own heart, and in your chamber, and be still.	4004	35
Psalm4.5	5 Offer the sacrifice of righteousness * and put your trust in the Lord.	Offer the sacrifice of righteousness * and put your trust in the Lord.	4005	36
Psalm4.6	6 There be many that say * Who will shew us any good?	There be many that say * Who will shew us any good?	4006	37
Psalm4.7	7 Lord, lift thou up * the light of thy countenance upon us.	Lord, lift thou up * the light of thy countenance upon us.	4007	38
Psalm4.8	8 Thou hast put gladness in my heart * since the time that their corn and wine and oil increased.	Thou hast put gladness in my heart * since the time that their corn and wine and oil increased.	4008	39
Psalm4.9	9 I will lay me down in peace, and take my rest * for it is thou, Lord, only, that makest me dwell in safety.	I will lay me down in peace, and take my rest * for it is thou, Lord, only, that makest me dwell in safety.	4009	40
Psalm5.0	Psalm 5. Verba mea auribus.	Psalm 5. Verba mea auribus.	5000	41
Psalm5.1	1 PONDER my words, O Lord * consider my meditation	PONDER my words, O Lord * consider my meditation	5001	42
Psalm5.2	2 O hearken thou unto the voice of my calling, my King, and my God * for unto thee will I make my prayer.	O hearken thou unto the voice of my calling, my King, and my God * for unto thee will I make my prayer.	5002	43
Psalm5.3	3 My voice shalt thou hear betimes, O Lord * early in the morning will I direct my prayer unto thee, and will look up.	My voice shalt thou hear betimes, O Lord * early in the morning will I direct my prayer unto thee, and will look up.	5003	44
Psalm5.4	4 For thou art the God that hast no pleasure in wickedness * neither shall any evil dwell with thee.	For thou art the God that hast no pleasure in wickedness * neither shall any evil dwell with thee.	5004	45
Psalm5.5	5 Such as be foolish shall not stand in thy sight * for thou hatest all them that work vanity.	Such as be foolish shall not stand in thy sight * for thou hatest all them that work vanity.	5005	46
Psalm5.6	6 Thou shalt destroy them that speak leasing * the Lord will abhor both the blood-thirsty and deceitful man.	Thou shalt destroy them that speak leasing * the Lord will abhor both the blood-thirsty and deceitful man.	5006	47
Psalm5.7	7 But as for me, I will come into thine house, even upon the multitude of thy mercy * and in thy fear will I worship toward thy holy temple.	But as for me, I will come into thine house, even upon the multitude of thy mercy * and in thy fear will I worship toward thy holy temple.	5007	48
Psalm5.8	8 Lead me, O Lord, in thy righteousness, because of mine enemies * make thy way plain before my face.	Lead me, O Lord, in thy righteousness, because of mine enemies * make thy way plain before my face.	5008	49
Psalm5.9	9 For there is no faithfulness in his mouth * their inward parts are very wickedness.	For there is no faithfulness in his mouth * their inward parts are very wickedness.	5009	50
Psalm5.10	10 Their throat is an open sepulchre * they flatter with their tongue.	Their throat is an open sepulchre * they flatter with their tongue.	5010	51
Psalm5.11	11 Destroy thou them, O God; let them perish through their own imaginations * cast them out in the multitude of their ungodliness; for they have rebelled against thee.	Destroy thou them, O God; let them perish through their own imaginations * cast them out in the multitude of their ungodliness; for they have rebelled against thee.	5011	52
Psalm5.12	12 And let all them that put their trust in thee rejoice * they shall ever be giving of thanks, because thou defendest them; they that love thy Name shall be joyful in thee;	And let all them that put their trust in thee rejoice * they shall ever be giving of thanks, because thou defendest them; they that love thy Name shall be joyful in thee;	5012	53
Psalm5.13	13 For thou, Lord, wilt give thy blessing unto the righteous * and with thy favourable kindness wilt thou defend him as with a shield.	For thou, Lord, wilt give thy blessing unto the righteous * and with thy favourable kindness wilt thou defend him as with a shield.	5013	54
Psalm6.0	Psalm 6. Domine, ne in furore.	Psalm 6. Domine, ne in furore.	6000	55
Psalm6.1	1 O LORD, rebuke me not in thine indignation * neither chasten me in thy displeasure.	O LORD, rebuke me not in thine indignation * neither chasten me in thy displeasure.	6001	56
Psalm6.2	2 Have mercy upon me, O Lord, for I am weak * O Lord, heal me, for my bones are vexed.	Have mercy upon me, O Lord, for I am weak * O Lord, heal me, for my bones are vexed.	6002	57
Psalm6.3	3 My soul also is sore troubled * but, Lord, how long wilt thou punish me?	My soul also is sore troubled * but, Lord, how long wilt thou punish me?	6003	58
Psalm6.4	4 Turn thee, O Lord, and deliver my soul * O save me for thy mercy's sake.	Turn thee, O Lord, and deliver my soul * O save me for thy mercy's sake.	6004	59
Psalm6.5	5 For in death no man remembereth thee * and who will give thee thanks in the pit?	For in death no man remembereth thee * and who will give thee thanks in the pit?	6005	60
Psalm6.6	6 I am weary of my groaning; every night wash I my bed * and water my couch with my tears.	I am weary of my groaning; every night wash I my bed * and water my couch with my tears.	6006	61
Psalm6.7	7 My beauty is gone for very trouble * and worn away because of all mine enemies.	My beauty is gone for very trouble * and worn away because of all mine enemies.	6007	62
Psalm6.8	8 Away from me, all ye that work vanity * for the Lord hath heard the voice of my weeping.	Away from me, all ye that work vanity * for the Lord hath heard the voice of my weeping.	6008	63
Psalm6.9	9 The Lord hath heard my petition * the Lord will receive my prayer.	The Lord hath heard my petition * the Lord will receive my prayer.	6009	64
Psalm6.10	10 All mine enemies shall be confounded, and sore vexed * they shall be turned back, and put to shame suddenly.	All mine enemies shall be confounded, and sore vexed * they shall be turned back, and put to shame suddenly.	6010	65
Psalm7.0	Psalm 7. Domine, Deus meus.	Psalm 7. Domine, Deus meus.	7000	66
Psalm7.1	1 O LORD my God, in thee have I put my trust * save me from all them that persecute me, and deliver me;	O LORD my God, in thee have I put my trust * save me from all them that persecute me, and deliver me;	7001	67
Psalm7.2	2 Lest he devour my soul, like a lion, and tear it in pieces * while there is none to help.	Lest he devour my soul, like a lion, and tear it in pieces * while there is none to help.	7002	68
Psalm7.3	3 O Lord my God, if I have done any such thing * or if there be any wickedness in my hands;	O Lord my God, if I have done any such thing * or if there be any wickedness in my hands;	7003	69
Psalm7.4	4 If I have rewarded evil unto him that dealt friendly with me * yea, I have delivered him that without any cause is mine enemy,	If I have rewarded evil unto him that dealt friendly with me * yea, I have delivered him that without any cause is mine enemy,	7004	70
Psalm7.5	5 Then let mine enemy persecute my soul, and take me * yea, let him tread my life down upon the earth, and lay mine honour in the dust.	Then let mine enemy persecute my soul, and take me * yea, let him tread my life down upon the earth, and lay mine honour in the dust.	7005	71
Psalm7.6	6 Stand up, O Lord, in thy wrath, and lift up thyself, because of the indignation of mine enemies * arise up for me in the judgement that thou hast commanded.	Stand up, O Lord, in thy wrath, and lift up thyself, because of the indignation of mine enemies * arise up for me in the judgement that thou hast commanded.	7006	72
Psalm7.7	7 And so shall the congregation of the people come about thee * for their sakes therefore lift up thyself again.	And so shall the congregation of the people come about thee * for their sakes therefore lift up thyself again.	7007	73
Psalm7.8	8 The Lord shall judge the people; give sentence with me, O Lord * according to my righteousness, and according to the innocency that is in me.	The Lord shall judge the people; give sentence with me, O Lord * according to my righteousness, and according to the innocency that is in me.	7008	74
Psalm7.9	9 O let the wickedness of the ungodly come to an end * but guide thou the just.	O let the wickedness of the ungodly come to an end * but guide thou the just.	7009	75
Psalm7.10	10 For the righteous God * trieth the very hearts and reins.	For the righteous God * trieth the very hearts and reins.	7010	76
Psalm7.11	11 My help cometh of God * who preserveth them that are true of heart.	My help cometh of God * who preserveth them that are true of heart.	7011	77
Psalm7.12	12 God is a righteous Judge, strong and patient * and God is provoked every day.	God is a righteous Judge, strong and patient * and God is provoked every day.	7012	78
Psalm7.13	13 If a man will not turn, he will whet his sword * he hath bent his bow, and made it ready.	If a man will not turn, he will whet his sword * he hath bent his bow, and made it ready.	7013	79
Psalm7.14	14 He hath prepared for him the instruments of death * he ordaineth his arrows against the persecutors	He hath prepared for him the instruments of death * he ordaineth his arrows against the persecutors	7014	80
Psalm7.15	15 Behold, he travaileth with mischief * he hath conceived sorrow, and brought forth ungodliness.	Behold, he travaileth with mischief * he hath conceived sorrow, and brought forth ungodliness.	7015	81
Psalm7.16	16 He hath graven and digged up a pit * and is fallen on himself into the destruction that he made for other.	He hath graven and digged up a pit * and is fallen on himself into the destruction that he made for other.	7016	82
Psalm7.17	17 For his travail shall come upon his own head * and his wickedness shall fall on his own pate.	For his travail shall come upon his own head * and his wickedness shall fall on his own pate.	7017	83
Psalm7.18	18 I will give thanks unto the Lord, according to his righteousness * and I will praise the Name of the Lord most High.	I will give thanks unto the Lord, according to his righteousness * and I will praise the Name of the Lord most High.	7018	84
Psalm8.0	Psalm 8. Domine, Dominus noster.	Psalm 8. Domine, Dominus noster.	8000	85
Psalm8.1	1 O LORD our Governor, how excellent is thy Name in all the world * thou that hast set thy glory above the heavens!	O LORD our Governor, how excellent is thy Name in all the world * thou that hast set thy glory above the heavens!	8001	86
Psalm8.2	2 Out of the mouth of very babes and sucklings hast thou ordained strength, because of thine enemies * that thou mightest still the enemy and the avenger.	Out of the mouth of very babes and sucklings hast thou ordained strength, because of thine enemies * that thou mightest still the enemy and the avenger.	8002	87
Psalm8.3	3 For I will consider thy heavens, even the works of thy fingers * the moon and the stars, which thou hast ordained.	For I will consider thy heavens, even the works of thy fingers * the moon and the stars, which thou hast ordained.	8003	88
Psalm8.4	4 What is man, that thou art mindful of him * and the son of man, that thou visitest him?	What is man, that thou art mindful of him * and the son of man, that thou visitest him?	8004	89
Psalm8.5	5 Thou madest him lower than the angels * to crown him with glory and worship.	Thou madest him lower than the angels * to crown him with glory and worship.	8005	90
Psalm8.6	6 Thou makest him to have dominion of the works of thy hands * and thou hast put all things in subjection under his feet;	Thou makest him to have dominion of the works of thy hands * and thou hast put all things in subjection under his feet;	8006	91
Psalm8.7	7 All sheep and oxen * yea, and the beasts of the field;	All sheep and oxen * yea, and the beasts of the field;	8007	92
Psalm8.8	8 The fowls of the air, and the fishes of the sea * and whatsoever walketh through the paths of the seas.	The fowls of the air, and the fishes of the sea * and whatsoever walketh through the paths of the seas.	8008	93
Psalm8.9	9 O Lord our Governor * how excellent is thy Name in all the world!	O Lord our Governor * how excellent is thy Name in all the world!	8009	94
Psalm9.0	Psalm 9. Confitebor tibi.	Psalm 9. Confitebor tibi.	9000	95
Psalm9.1	1 I WILL give thanks unto thee, O Lord, with my whole heart * I will speak of all thy marvellous works.	I WILL give thanks unto thee, O Lord, with my whole heart * I will speak of all thy marvellous works.	9001	96
Psalm9.2	2 I will be glad and rejoice in thee * yea, my songs will I make of thy Name, O thou most Highest.	I will be glad and rejoice in thee * yea, my songs will I make of thy Name, O thou most Highest.	9002	97
Psalm9.3	3 While mine enemies are driven back * they shall fall and perish at thy presence.	While mine enemies are driven back * they shall fall and perish at thy presence.	9003	98
Psalm9.4	4 For thou hast maintained my right and my cause * thou art set in the throne that judgest right.	For thou hast maintained my right and my cause * thou art set in the throne that judgest right.	9004	99
Psalm9.5	5 Thou hast rebuked the heathen, and destroyed the ungodly * thou hast put out their name for ever and ever.	Thou hast rebuked the heathen, and destroyed the ungodly * thou hast put out their name for ever and ever.	9005	100
Psalm9.6	6 O thou enemy, destructions are come to a perpetual end * even as the cities which thou hast destroyed, their memorial is perished with them.	O thou enemy, destructions are come to a perpetual end * even as the cities which thou hast destroyed, their memorial is perished with them.	9006	101
Psalm9.7	7 But the Lord shall endure for ever * he hath also prepared his seat for judgement.	But the Lord shall endure for ever * he hath also prepared his seat for judgement.	9007	102
Psalm9.8	8 For he shall judge the world in righteousness * and minister true judgement unto the people.	For he shall judge the world in righteousness * and minister true judgement unto the people.	9008	103
Psalm9.9	9 The Lord also will be a defence for the oppressed * even a refuge in due time of trouble.	The Lord also will be a defence for the oppressed * even a refuge in due time of trouble.	9009	104
Psalm9.10	10 And they that know thy Name will put their trust in thee * for thou, Lord, hast never failed them that seek thee.	And they that know thy Name will put their trust in thee * for thou, Lord, hast never failed them that seek thee.	9010	105
Psalm9.11	11 O praise the Lord which dwelleth in Sion * shew the people of his doings.	O praise the Lord which dwelleth in Sion * shew the people of his doings.	9011	106
Psalm9.12	12 For when he maketh inquisition for blood, he remembereth them * and forgetteth not the complaint of the poor.	For when he maketh inquisition for blood, he remembereth them * and forgetteth not the complaint of the poor.	9012	107
Psalm9.13	13 Have mercy upon me, O Lord; consider the trouble which I suffer of them that hate me * thou that liftest me up from the gates of death.	Have mercy upon me, O Lord; consider the trouble which I suffer of them that hate me * thou that liftest me up from the gates of death.	9013	108
Psalm9.14	14 That I may shew all thy praises within the ports of the daughter of Sion * I will rejoice in thy salvation.	That I may shew all thy praises within the ports of the daughter of Sion * I will rejoice in thy salvation.	9014	109
Psalm9.15	15 The heathen are sunk down in the pit that they made * in the same net which they hid privily, is their foot taken.	The heathen are sunk down in the pit that they made * in the same net which they hid privily, is their foot taken.	9015	110
Psalm9.16	16 The Lord is known to execute judgement * the ungodly is trapped in the work of his own hands.	The Lord is known to execute judgement * the ungodly is trapped in the work of his own hands.	9016	111
Psalm9.17	17 The wicked shall be turned into hell * and all the people that forget God.	The wicked shall be turned into hell * and all the people that forget God.	9017	112
Psalm9.18	18 For the poor shall not alway be forgotten * the patient abiding of the meek shall not perish for ever.	For the poor shall not alway be forgotten * the patient abiding of the meek shall not perish for ever.	9018	113
Psalm9.19	19 Up, Lord, and let not man have the upper hand * let the heathen be judged in thy sight.	Up, Lord, and let not man have the upper hand * let the heathen be judged in thy sight.	9019	114
Psalm9.20	20 Put them in fear, O Lord * that the heathen may know themselves to be but men.	Put them in fear, O Lord * that the heathen may know themselves to be but men.	9020	115
Psalm10.0	Psalm 10. Ut quid, Domine?	Psalm 10. Ut quid, Domine?	10000	116
Psalm10.1	1 WHY standest thou so far off, O Lord * and hidest thy face in the needful time of trouble?	WHY standest thou so far off, O Lord * and hidest thy face in the needful time of trouble?	10001	117
Psalm10.2	2 The ungodly for his own lust doth persecute the poor * let them be taken in the crafty wiliness that they have imagined.	The ungodly for his own lust doth persecute the poor * let them be taken in the crafty wiliness that they have imagined.	10002	118
Psalm10.3	3 For the ungodly hath made boast of his own heart's desire * and speaketh good of the covetous, whom God abhorreth.	For the ungodly hath made boast of his own heart's desire * and speaketh good of the covetous, whom God abhorreth.	10003	119
Psalm10.4	4 The ungodly is so proud, that he careth not for God ; neither is God in all his thoughts.	The ungodly is so proud, that he careth not for God ; neither is God in all his thoughts.	10004	120
Psalm10.5	5 His ways are alway grievous * thy judgements are far above out of his sight, and therefore defieth he all his enemies.	His ways are alway grievous * thy judgements are far above out of his sight, and therefore defieth he all his enemies.	10005	121
Psalm10.6	6 For he hath said in his heart, Tush, I shall never be cast down * there shall no harm happen unto me.	For he hath said in his heart, Tush, I shall never be cast down * there shall no harm happen unto me.	10006	122
Psalm10.7	7 His mouth is full of cursing, deceit, and fraud * under his tongue is ungodliness and vanity.	His mouth is full of cursing, deceit, and fraud * under his tongue is ungodliness and vanity.	10007	123
Psalm10.8	8 He sitteth lurking in the thievish corners of the streets * and privily in his lurking dens doth he murder the innocent; his eyes are set against the poor.	He sitteth lurking in the thievish corners of the streets * and privily in his lurking dens doth he murder the innocent; his eyes are set against the poor.	10008	124
Psalm10.9	9 For he lieth waiting secretly, even as a lion lurketh he in his den * that he may ravish the poor.	For he lieth waiting secretly, even as a lion lurketh he in his den * that he may ravish the poor.	10009	125
Psalm10.10	10 He doth ravish the poor * when he getteth him into his net.	He doth ravish the poor * when he getteth him into his net.	10010	126
Psalm10.11	11 He falleth down, and humbleth himself * that the congregation of the poor may fall into the hands of his captains.	He falleth down, and humbleth himself * that the congregation of the poor may fall into the hands of his captains.	10011	127
Psalm10.12	12 He hath said in his heart, Tush, God hath forgotten * he hideth away his face, and he will never see it.	He hath said in his heart, Tush, God hath forgotten * he hideth away his face, and he will never see it.	10012	128
Psalm10.13	13 Arise, O Lord God, and lift up thine hand * forget not the poor.	Arise, O Lord God, and lift up thine hand * forget not the poor.	10013	129
Psalm10.14	14 Wherefore should the wicked blaspheme God * while he doth say in his heart, Tush, thou God carest not for it.	Wherefore should the wicked blaspheme God * while he doth say in his heart, Tush, thou God carest not for it.	10014	130
Psalm10.15	15 Surely thou hast seen it * for thou beholdest ungodliness and wrong.	Surely thou hast seen it * for thou beholdest ungodliness and wrong.	10015	131
Psalm10.16	16 That thou mayest take the matter into thy hand * the poor committeth himself unto thee; for thou art the helper of the friendless.	That thou mayest take the matter into thy hand * the poor committeth himself unto thee; for thou art the helper of the friendless.	10016	132
Psalm10.17	17 Break thou the power of the ungodly and malicious * take away his ungodliness, and thou shalt find none.	Break thou the power of the ungodly and malicious * take away his ungodliness, and thou shalt find none.	10017	133
Psalm10.18	18 The Lord is King for ever and ever * and the heathen are perished out of the land.	The Lord is King for ever and ever * and the heathen are perished out of the land.	10018	134
Psalm10.19	19 Lord, thou hast heard the desire of the poor * thou preparest their heart, and thine ear hearkeneth thereto;	Lord, thou hast heard the desire of the poor * thou preparest their heart, and thine ear hearkeneth thereto;	10019	135
Psalm10.20	20 To help the fatherless and poor unto their right * that the man of the earth be no more exalted against them.	To help the fatherless and poor unto their right * that the man of the earth be no more exalted against them.	10020	136
Psalm11.0	Psalm 11. In Domino confido.	Psalm 11. In Domino confido.	11000	137
Psalm11.1	1 IN THE Lord put I my trust * how say ye then to my soul, that she should flee as a bird unto the hill?	IN THE Lord put I my trust * how say ye then to my soul, that she should flee as a bird unto the hill?	11001	138
Psalm11.2	2 For lo, the ungodly bend their bow, and make ready their arrows within the quiver * that they may privily shoot at them which are true of heart.	For lo, the ungodly bend their bow, and make ready their arrows within the quiver * that they may privily shoot at them which are true of heart.	11002	139
Psalm11.3	3 For the foundations will be cast down * and what hath the righteous done?	For the foundations will be cast down * and what hath the righteous done?	11003	140
Psalm11.4	4 The Lord is in his holy temple * the Lord's seat is in heaven.	The Lord is in his holy temple * the Lord's seat is in heaven.	11004	141
Psalm11.5	5 His eyes consider the poor * and his eye-lids try the children of men.	His eyes consider the poor * and his eye-lids try the children of men.	11005	142
Psalm11.6	6 The Lord alloweth the righteous * but the ungodly, and him that delighteth in wickedness, doth his soul abhor.	The Lord alloweth the righteous * but the ungodly, and him that delighteth in wickedness, doth his soul abhor.	11006	143
Psalm11.7	7 Upon the ungodly he shall rain snares, fire and brimstone, storm and tempest * this shall be their portion to drink.	Upon the ungodly he shall rain snares, fire and brimstone, storm and tempest * this shall be their portion to drink.	11007	144
Psalm11.8	8 For the righteous Lord loveth righteousness * his countenance will behold the thing that is just.	For the righteous Lord loveth righteousness * his countenance will behold the thing that is just.	11008	145
Psalm12.0	Psalm 12. Salvum me fac.	Psalm 12. Salvum me fac.	12000	146
Psalm12.1	1 HELP me, Lord, for there is not one godly man left * for the faithful are minished from among the children of men,	HELP me, Lord, for there is not one godly man left * for the faithful are minished from among the children of men,	12001	147
Psalm12.2	2 They talk of vanity every one with his neighbour * they do but flatter with their lips, and dissemble in their double heart.	They talk of vanity every one with his neighbour * they do but flatter with their lips, and dissemble in their double heart.	12002	148
Psalm12.3	3 The Lord shall root out all deceitful lips * and the tongue that speaketh proud things;	The Lord shall root out all deceitful lips * and the tongue that speaketh proud things;	12003	149
Psalm12.4	4 Which have said, With our tongue will we prevail * we are they that ought to speak , who is lord over us?	Which have said, With our tongue will we prevail * we are they that ought to speak , who is lord over us?	12004	150
Psalm12.5	5 Now for the comfortless trouble's sake of the needy * and because of the deep sighing of the poor,	Now for the comfortless trouble's sake of the needy * and because of the deep sighing of the poor,	12005	151
Psalm12.6	6 I will up, saith the Lord * and will help every one from him that swelleth against him, and will set him at rest.	I will up, saith the Lord * and will help every one from him that swelleth against him, and will set him at rest.	12006	152
Psalm12.7	7 The words of the Lord are pure words * even as the silver, which from the earth is tried, and purified seven times in the fire.	The words of the Lord are pure words * even as the silver, which from the earth is tried, and purified seven times in the fire.	12007	153
Psalm12.8	8 Thou shalt keep them, O Lord * thou shalt preserve him from this generation for ever.	Thou shalt keep them, O Lord * thou shalt preserve him from this generation for ever.	12008	154
Psalm12.9	9 The ungodly walk on every side * when they are exalted, the children of men are put to rebuke.	The ungodly walk on every side * when they are exalted, the children of men are put to rebuke.	12009	155
Psalm13.0	Psalm 13. Usque quo, Domine?	Psalm 13. Usque quo, Domine?	13000	156
Psalm13.1	1 HOW long wilt thou forget me, O Lord, for ever * how long wilt thou hide thy face from me?	HOW long wilt thou forget me, O Lord, for ever * how long wilt thou hide thy face from me?	13001	157
Psalm13.2	2 How long shall I seek counsel in my soul, and be so vexed in my heart * how long shall mine enemies triumph over me?	How long shall I seek counsel in my soul, and be so vexed in my heart * how long shall mine enemies triumph over me?	13002	158
Psalm13.3	3 Consider, and hear me, O Lord my God * lighten mine eyes, that I sleep not in death.	Consider, and hear me, O Lord my God * lighten mine eyes, that I sleep not in death.	13003	159
Psalm13.4	4 Lest mine enemy say, I have prevailed against him * for if I be cast down, they that trouble me will rejoice at it.	Lest mine enemy say, I have prevailed against him * for if I be cast down, they that trouble me will rejoice at it.	13004	160
Psalm13.5	5 But my trust is in thy mercy * and my heart is joyful in thy salvation.	But my trust is in thy mercy * and my heart is joyful in thy salvation.	13005	161
Psalm13.6	6 I will sing of the Lord, because he hath dealt so lovingly with me * yea, I will praise the Name of the Lord most Highest.	I will sing of the Lord, because he hath dealt so lovingly with me * yea, I will praise the Name of the Lord most Highest.	13006	162
Psalm14.0	Psalm 14. Dixit insipiens.	Psalm 14. Dixit insipiens.	14000	163
Psalm14.1	1 THE fool hath said in his heart * There is no God.	THE fool hath said in his heart * There is no God.	14001	164
Psalm14.2	2 They are corrupt, and become abominable in their doings * there is none that doeth good, no not one.	They are corrupt, and become abominable in their doings * there is none that doeth good, no not one.	14002	165
Psalm14.3	3 The Lord looked down from heaven upon the children of men * to see if there were any that would understand, and seek after God.	The Lord looked down from heaven upon the children of men * to see if there were any that would understand, and seek after God.	14003	166
Psalm14.4	4 But they are all gone out of the way, they are altogether become abominable * there is none that doeth good, no not one.	But they are all gone out of the way, they are altogether become abominable * there is none that doeth good, no not one.	14004	167
Psalm14.5	5 Their throat is an open sepulchre, with their tongues have they deceived * the poison of asps is under their lips.	Their throat is an open sepulchre, with their tongues have they deceived * the poison of asps is under their lips.	14005	168
Psalm14.6	6 Their mouth is full of cursing and bitterness * their feet are swift to shed blood.	Their mouth is full of cursing and bitterness * their feet are swift to shed blood.	14006	169
Psalm14.7	7 Destruction and unhappiness is in their ways, and the way of peace have they not known ; there is no fear of God before their eyes.	Destruction and unhappiness is in their ways, and the way of peace have they not known ; there is no fear of God before their eyes.	14007	170
