LiturgicalProperName	INTROIT ANTIPHON	Antiphon	Verse	COLLECT OF THE DAY	GOSPEL ANTIPHON	Verse	OFFERTORY ANTIPHON	OFFERTORY COLLECT ≡ ORATIO SECRETA	PROPER PREFACE	COMMUNION ANTIPHON	Antiphon	POSTCOMMUNION COLLECT	SEQUENCE	Seq
Epiphany of our Lord	Ecce Advenit. Malachi 3.	BEHOLD, he appeareth, the Lord and Ruler * and in his hand the kingdom, and power, and dominion.	Psalm 72. Give the King thy judgements, O God * and thy righteousness unto the King's Son. ✠Glory be &c	Collect not found	St Matthew 2.	Alleluia, alleluia. We have seen his star in the East * and have come with offerings to worship the Lord. Alleluia.	Psalm 72. The kings of Tarshish and of the isles shall give presents: the kings of Arabia and Saba shall bring gifts * all kings shall fall down before him, all nations shall do him service.	We beseech thee, O Lord, mercifully to look upon the oblations of thy Church: wherein no longer offering gold and frankincense and myrrh, we sacrifice and receive him, who by those gifts was mystically signified, even Jesus Christ thy Son our Lord. Who liveth and reigneth with thee.		St Matthew 2.	We have seen his star in the East * and have come with offerings to worship the Lord.	GRANT, we beseech thee, Almighty God: that we, which here have celebrated thy holy mysteries, may in all purity of heart and mind receive the benefits of the same. Through &c.		11
Baptism of our Lord	In excelso throno. Apocalypse 5.	ON a throne exalted I beheld, and lo, a man sitting, whom a legion of Angels worship, singing together * behold, his rule and governance endureth to all ages.	Psalm 100. O be joyful in God, all ye lands * serve the Lord with gladness. ✠Glory be &c	Collect not found	Psalm 100.	Alleluia, alleluia. O be joyful in the Lord, all ye lands * serve the Lord with gladness. Alleluia.	Psalm 100. O be joyful in the Lord, all ye lands, serve the Lord with gladness: and come before his presence with a song * be ye sure that the Lord he is God.	We beseech thee, O Lord, that this sacrifice, which we offer unto thee, may evermore avail to quicken and defend us. Through.		St Luke 2.	Son, why hast thou thus dealt with us? Behold, thy father and I have sought thee sorrowing. And he said unto them * How is it that ye sought me? Wist ye not that I must be about my Father's business?	WE humbly beseech thee, Almighty God: that we, whom thou dost vouchsafe to regenerate with thy holy sacraments; may continually serve thee in all virtuous and godly living, through &c		12
Epiphany II	Omnis terra. Psalm  66.	ALL the world shall worship thee, O God * sing of thee, and praise thy Name, O thou Most Highest.	Psalm 100. O be joyful in God, all ye lands, sing praises unto the honour of his Name * make his praise to be glorious ✠Glory be &c	ALMIGHTY and everlasting God, who dost govern all things in heaven and earth: mercifully hear the supplications of thy people; and grant us thy peace all the days of our life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 148.	Alleluia, alleluia. Praise the Lord, all ye Angels of his * praise him all his host. Alleluia.	Psalm 66. O be joyful in God, all ye lands: sing praises unto the honour of his Name: O come hither and hearken, all ye that fear God * and I will tell you what the Lord hath done for my soul. Alleluia.	WE beseech thee, O Lord, that thou wouldest vouchsafe to sanctify these our oblations: and to cleanse us from the defilement of all our iniquities.  Through &c		St Mark 1.	And there came a voice from heaven, saying * Thou art my beloved Son, in whom I am well pleased.	INCREASE, O Lord, we pray thee, and multiply upon us the operation of thine almighty power: that we, whom thou hast quickened with these heavenly sacraments, may by thy grace be made ready to receive the benefits which thou dost promise. Through &c.		13
Epiphany III	Adorate Deum. Psalm  97.	ALL ye angels of God, fall down, and worship before him * Sion heard of it, and rejoiced, and the daughters of Judah were glad.	Psalm ibid. The Lord is King, the earth may be glad thereof * yea, the multitude of the isles may be glad thereof. ✠Glory be &c	ALMIGHTY and everlasting God: mercifully look upon our infirmities; and in all our dangers and necessities, stretch forth thy right hand to help and defend us; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 97.	Alleluia, alleluia. The Lord is King, the earth may be glad thereof * yea the multitude of the isles may be glad thereof. Alleluia.	Psalm 118. The right hand of the Lord hath the pre-eminence, the right hand of the Lord bringeth mighty things to pass * I shall not die, but live, and declare the works of the Lord.	GRANT, O Lord, we pray thee, that this oblation may in such wise cleanse us from all our sins: that we thy servants, being sanctified both in body and soul, may worthily offer unto thee this our sacrifice.  Through &c		St John 2.	The Lord saith unto them, Fill the waterpots with water, and bear unto the governor of the feast. When the ruler of the feast had tasted the water that was made wine, he saith unto the bridegroom, * thou hast kept the good wine until now. This beginning of miracles did Jesus before his disciples.	O LORD, who hast vouchsafed unto us to be made partakers of so great a mystery; we humbly beseech thee, that thou wouldest render us worthy thereby to enjoy the benefits of the same. Through &c.		14
Epiphany IV	Adorate Deum. Psalm  97.	ALL ye angels of God, fall down, and worship before him * Sion heard of it, and rejoiced, and the daughters of Judah were glad.	Psalm ibid. The Lord is King, the earth may be glad thereof * yea, the multitude of the isles may be glad thereof. ✠Glory be &c	O GOD, who knowest us to be set in the midst of so many and great dangers, that by reason of the frailty of our nature we cannot always stand upright: grant to us such strength and protection, as may support us in all dangers, and carry us through all temptations; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 97.	Alleluia, alleluia. The Lord is King, the earth may be glad thereof * yea the multitude of the isles may be glad thereof. Alleluia.	Psalm 118. The right hand of the Lord hath the pre-eminence, the right hand of the Lord bringeth mighty things to pass * I shall not die, but live, and declare the works of the Lord.	GRANT, we beseech thee, Almighty God: that the frailty of our mortal nature may by this oblation of our sacrifice, be cleansed from all iniquity and defended against all temptations.  Through &c		St Luke 4.	All wondered at the gracious words * which proceeded out of his mouth.	O GOD, who hast here bestowed upon us the bounty of thy heavenly gifts: grant, we beseech thee; that by the same we may be freed from all carnal and earthly desires, and ever strengthened by thy heavenly refreshment. Through &c.		15
Epiphany V	Adorate Deum. Psalm  97.	ALL ye Angels of God, fall down, and worship before him * Sion heard of it, and rejoiced, and the daughters of Judah were glad.	Psalm ibid. The Lord is King, the earth may be glad thereof * yea, the multitude of the isles may be glad thereof. ✠Glory be &c	O LORD, we beseech thee to keep thy Church and household continually in thy true religion: that they who do lean only upon the hope of thy heavenly grace; may evermore be defended by thy mighty power; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 97.	Alleluia, alleluia. The Lord is King, the earth may be glad thereof; yea, the multitude of the isles may be glad thereof. Alleluia.	Psalm 118. The right hand of the Lord hath the pre-eminence, the right hand of the Lord bringeth mighty things to pass * I shall not die, but live, and declare the works of the Lord.	Accept, O Lord, we pray thee, this sacrifice which we offer unto thee for the propitiation of our sins: that we, which have gone astray by reason of our frailty, may be pardoned by thy mercy and guided by thy power.  Through &c		St Luke 4.	All wondered at the gracious words * which proceeded out of his mouth.	GRANT, we beseech thee, Almighty God; that as in these holy mysteries we have received the token of our redemption, so we may effectually be brought to the fulfilment of the same. Through &c.		16
Epiphany VI	Adorate Deum. Psalm  97.	ALL ye Angels of God, fall down, and worship before him * Sion heard of it, and rejoiced, and the daughters of Judah were glad.	Psalm ibid. The Lord is King, the earth may be glad thereof * yea, the multitude of the isles may be glad thereof. ✠Glory be &c	O GOD, whose blessed Son was manifested that he might destroy the works of the devil, and make us the sons of God, and heirs of eternal life: grant us, we beseech thee, that, having this hope, we may purify ourselves, even as he is pure; that, when he shall appear again with power and great glory, we may be made like unto him in his eternal and glorious kingdom; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 97.	Alleluia, alleluia. The Lord is King, the earth may be glad thereof * yea, the multitude of the isles may be glad thereof. Alleluia.	Psalm 118. The right hand of the Lord hath the pre-eminence, the right hand of the Lord bringeth mighty things to pass * I shall not die, but live, and declare the works of the Lord.	Grant, O Lord, we pray thee, that this oblation may evermore cleanse and regenerate, govern and defend us. Through.		St Luke 4.	All wondered at the gracious words * which proceeded out of his mouth.	O Lord, who hast fulfilled us with thy heavenly delights: grant, we beseech thee; that we may ever earnestly seek after those things whereby we truly live. Through &c.		17
Septuagesima Sunday	Circumdederunt. Psalm  18.	THE sorrows of death compassed me, the pains of hell gat hold upon me * and in my tribulation I made my prayer unto the Lord, and he regarded my supplication out of his holy temple.	Psalm ibid.  I will love thee, O Lord my strength * the Lord is my stony rock, my fortress, and my Saviour. ✠Glory be &c	Collect not found	Psalm 9.	Praise to Thee, O Christ, King of Eternal glory. The Lord will be a refuge in the time of trouble: and they that know thy Name will put their trust in thee: for thou, Lord, hast never failed them that seek thee. For the poor shall not always be forgotten: the patient abiding of the meek shall not perish for ever * up Lord, and let not man have the upper hand.	Psalm 92:1. It is a good thing to give thanks unto the Lord, and to sing praises unto thy Name, O Most Highest.	WE beseech thee, O Lord, graciously to accept these our prayers and oblations: that we being cleansed by these heavenly mysteries, may obtain of thy great mercy the fulfilment of all our desires. Through.		Psalm 31.	Shew thy servant the light of thy countenance, and save me for thy mercy's sake * let me not be confounded, O Lord, for I have called upon thee.	STRENGTHEN, O Lord, we pray thee, with these thy gifts the wills of thy faithful people: that we receiving the same may seek them more earnestly, and seeking the same may obtain them everlastingly. Through &c.		19
Sexagesima Sunday	Exsurge. Psalm  44.	UP, Lord, why sleepest thou? Awake, and be not absent from us for ever: wherefore hidest thou thy face? and forgettest our misery and trouble? Our belly cleaveth unto the ground * arise, and help us, and deliver us.	Psalm ibid. O God, we have heard with our ears * our fathers have declared unto us. ✠Glory be &c	Collect not found	Psalm 83.	Praise to Thee, O Christ, King of Eternal glory. Let the heathen know that thou, whose Name is Jehovah: art only the Most Highest over all the earth. O my God, make them like unto a wheel * and as the stubble before the wind.	Psalm 17:5-7. O hold thou up my goings in thy paths, that my footsteps slip not: incline thine ear to me, and hearken unto my words * shew thy marvellous loving-kindness, O Lord, thou that art the Saviour of them which put their trust in thee.	WE beseech thee, O Lord, that this sacrifice, which we offer unto thee, may evermore avail to quicken and defend us. Through.		Psalm 43.	I will go unto the altar of God * even unto the God of my joy and gladness.	WE humbly beseech thee, Almighty God: that we whom thou dost vouchsafe to regenerate with thy holy sacraments; may continually serve thee in all virtuous and godly living. Through &c.		20
Quinquagesima Sunday	Esto mihi. Psalm  31.	BE thou my strong rock, and house of defence, that thou mayest save me: for thou art my strong rock, and my castle * be thou also my guide, and lead me for thy Name's sake.	Psalm ibid. In thee, O Lord, have I put my trust, let me never be put to confusion * but rid me and deliver me in thy righteousness ✠Glory be &c	Collect not found	Psalm 77.	Praise to Thee, O Christ, King of Eternal glory. Thou art the God, that doeth wonders: and hast declared thy power among the people. Thou hast mightily delivered thy people * even the sons of Jacob and Joseph.	Psalm 119. Blessed art thou, O Lord, O teach me thy statutes * with my lips have I been telling of all the judgements of thy mouth.	GRANT, O Lord, we pray thee that this oblation may in such wise cleanse us from all our sins: that we, thy servants, being sanctified both in body and soul, may worthily offer unto thee this our sacrifice.  Through &c		Psalm 78.	They did eat and were well filled, for the Lord gave them their own desire * they were not disappointed of their lust.	WE beseech thee, Almighty God:that we who have received this heavenly food, may thereby be defended against all adversities. Through &c.		18
Ash Wednesday	Misereris amnium. Wisdom 11.	THOU hast mercy upon all, O Lord, and abhorrest nothing which thou hast made, and winkest at the sins of men, because they should amend, and sparest them * for thou art the Lord our God.	Psalm 57. Be merciful unto me, O God, be merciful unto me * for my soul trusteth in thee. ✠Glory be &c	ALMIGHTY and everlasting God, who hatest nothing that thou hast made and dost forgive the sins of all those who are penitent: create and make in us new and contrite hearts, that we, worthily lamenting our sins and acknowledging our wretchedness, may obtain of thee, the God of all mercy, perfect remission and forgiveness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 57.	Praise to Thee, O Christ, King of Eternal glory. Be merciful unto me, O God, be merciful unto me * for my soul trusteth in thee. He shall send from heaven, and save me from the reproof of him that would eat me up.	Psalm 30. I will magnify thee, O Lord, for thou hast set me up, and not made my foes to triumph over me * O Lord, my God, I cried unto thee, and thou hast healed me.	Grant, we beseech thee, O Lord, that like as we do by these our oblations bring to remembrance the institution of this holy Sacrament, so we may by thee be enabled to offer the same according to thy will. Through.		Psalm 1.	He who doth meditate on the law of the Lord day and night * will bring forth his fruit in due season.	WE beseech thee, Lord, mercifully to protect us who have now received this holy Sacrament: that this our fast may be acceptable in thy sight, and profitable unto us for the healing of our souls, Through &c ¶ Then the Priest without any other Salutation to the People, shall say: Let us pray. And the Deacon, if any be ministering in the office of Deacon, shall turn about to the People with hands joined and say, Bow down before the Lord. Else shall the Priest himself say thus, standing in the same place afore the book and not turning about to the people.		21
Lent I	Invocabit me. Psalm  91.	HE shall call on me and I will hearken unto him: I will deliver him and baring him to honour * with length of days will I satisfy him.	Psalm ibid. Whoso dwelleth under the defence of the Most High * shall abide under the shadow of the Almighty. ✠Glory be &c	O LORD who for our sake didst fast forty days and forty nights: give us grace to use such abstinence, that, our flesh being subdued to the Spirit; we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 91.	Praise to Thee, O Christ, King of Eternal glory. He shall give his Angels charge over thee: to keep thee in all thy ways. They shall bear thee in their hands * that thou hurt not thy foot against a stone.	Psalm 91. The Lord shall defend thee under his wings, and thou shalt be safe under his feathers * his faithfulness and truth shall be thy shield and buckler.	GRANT, we beseech thee, O Lord, that we which offer unto thee this sacrifice in the beginning of our fast, may use such abstinence from carnal feastings, that we may likewise refrain ourselves from all pleasures that may hurt the soul. Through.		Psalm 78.	They did eat and were well filled, for the Lord gave them their own desire * they were not disappointed of their lust.	GRANT, O Lord, that this holy Sacrament, which we have received: may in such wise deliver us from our former nature; that we may be worthy to enter into the fellowship of thy saving mysteries. Through &c.		22
Lent II	Reminiscere. Psalm  25.	CALL to remembrance, O Lord, thy tender mercies, and thy loving-kindnesses, which have been ever of old: O let not our enemies triumph over us * deliver us, O God of Israel, out of all our troubles.	Unto thee, O Lord, will I lift up my soul * O my God, I have put my trust in thee, O let me not be confounded. ✠Glory be &c	ALMIGHTY God, who seest that we have no power of ourselves to help ourselves: keep us both outwardly in our bodies, and inwardly in our souls; that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 25.	Praise to Thee, O Christ, King of Eternal glory. The sorrows of my heart are enlarged: O bring thou me out of my troubles, O Lord. Look upon my adversity and misery * and forgive me all my sin.	Psalm 119. My delight shall be in thy commandments which I have loved exceedingly * my hands also will I lift up unto thy commandments, which I have loved.	WE BESEECH thee, O Lord, mercifully to have respect unto these our oblations: that the same may be profitable unto us for our increase in all godliness, and for the advancement of everlasting salvation. Through.		Psalm 5.	Consider my meditation: hearken thou unto the voice of my calling, my King and my God * for unto thee will I make my prayer, O Lord.	WE humbly beseech thee, Almighty God: that we whom thou dost vouchsafe to regenerate with thy holy sacraments; may continually serve thee in all virtuous and godly living. Through &c.		23
Lent III	Oculi mei. Psalm  25.	MINE eyes are ever looking unto the Lord, for he shall pluck my feet out of the net: turn thee unto me, and have mercy upon me * for I am desolate and in misery.	O Lord, will I lift up my soul * my God, in thee have I put my trust, let me not be confounded. ✠Glory be &c	WE BESEECH thee, almighty God, look upon the hearty desires of thy humble servants: and stretch forth the right hand of thy Majesty; to be our defence against all our enemies; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 9.	Praise to Thee, O Christ, King of Eternal glory. Up, Lord, and let not man have the upper hand * let the heathen be judged in thy sight. While mine enemies are driven back, they shall fall and perish at thy presence.	Psalm 19. The statues of the Lord are right, and rejoice the heart, sweeter also than honey and the honeycomb * moreover thy servant keepeth them.	GRANT, O Lord, we pray thee, that this oblation may in such wise cleanse us from all our sins: that we thy servants, being sanctified both in body and soul, may worthily offer unto thee this our sacrifice.  Through &c		Psalm 84.	The sparrow hath found her an house, and the swallow a nest, where she may lay her young: even thy altars, O Lord of hosts, my King and my God: blessed are they that dwell in thy house * they will be alway praising thee.	O LORD, who sufferest us to be partakers of thy wondrous mysteries: grant, we beseech thee; that by thy mercy we may be absolved from all our iniquities, and defended against all adversities. Through &c.		24
