Seq,Reference,PropersID,Year,Brief Description of Reading
745,"Ps 103:1-2, 3-4, 9-10, 11-12",24th Sunday in Ordinary Time,A,"The Lord is kind and merciful, slow to anger, and rich in compassion."
746,"Ps 103:1-2, 11-12, 19-20",7th Sunday of Easter,B,"The Lord has set his throne in heaven." or "Alleluia."
747,"Ps 104:1-2, 5-6, 10+12, 13-14, 24+35",Easter Vigil (resp. 1a),ABC,"Lord, send out your Spirit, and renew the face of the earth."
748,"Ps 104:1-2, 24+35, 27-28, 29b-30",Pentecost Sunday: Vigil Mass,ABC,"Lord, send out your Spirit, and renew the face of the earth." or "Alleluia."
749,"Ps 104:1+24, 29-30, 31+34",Pentecost Sunday,ABC*,"Lord, send out your Spirit, and renew the face of the earth." or "Alleluia."
750,"Ps 104:1b-2, 3-4, 24-25, 27-28, 29b-30",Sunday after Epiphany: Baptism of the Lord (opt. C),C*,"O bless the Lord, my soul."
751,"Ps 105:1-2, 3-4, 6-7, 8-9",Sunday in Octave of Christmas: Holy Family (opt. B),B*,"The Lord remembers his covenant forever."
752,"Ps 105:1-2, 3-4, 6-7, 8-9",Octave of Easter:Wednesday,,"The earth is full of the goodness of the Lord." or "Alleluia."
753,"Ps 107:23-24, 25-26, 28-29, 30-31",12th Sunday in Ordinary Time,B,"Give thanks to the Lord, his love is everlasting." or "Alleluia."
754,"Ps 110:1, 2, 3, 4",Sunday after Trinity Sun: Body & Blood of Christ,C,"You are a priest forever, in the line of Melchizedek."
755,"Ps 112:4-5, 6-7, 8-9",5th Sunday in Ordinary Time,A,"The just man is a light in darkness to the upright." or "Alleluia."
756,"Ps 113:1-2, 4-6, 7-8",25th Sunday in Ordinary Time,C,"Praise the Lord, who lifts up the poor." or "Alleluia."
757,"Ps 116:1-2, 3-4, 5-6, 8-9",24th Sunday in Ordinary Time,B,"I will walk before the Lord, in the land of the living." or "Alleluia."
758,"Ps 116:10+15, 16-17, 18-19",2nd Sunday of Lent,B,"I will walk before the Lord, in the land of the living."
759,"Ps 116:12-13, 15-16, 17-18",Holy Thursday: Mass of the Lord's Supper,ABC,"Our blessing-cup is a communion with the Blood of Christ." (1 Cor 10:16)
760,"Ps 116:12-13, 15-16, 17-18",Sunday after Trinity Sun: Body & Blood of Christ,B,"I will take the cup of salvation, and call on the name of the Lord." or "Alleluia."
761,"Ps 117:1, 2",21st Sunday in Ordinary Time,C,"Go out to all the world and tell the good news." (Mark 16:15) or "Alleluia."
762,"Ps 117:1, 2",9th Sunday in Ordinary Time,C,"Go out to all the world and tell the good news." (Mark 16:15) or "Alleluia."
763,"Ps 118:1+14-15, 16-18, 19-21",Octave of Easter:Saturday,,"I praise you, Lord, for you have answered me." or "Alleluia."
764,"Ps 118:1-2+4, 22-24, 25-27",Octave of Easter:Friday,,"The stone rejected by the builders has become the cornerstone." or "Alleluia."
765,"Ps 118:1-2, 16-17, 22-23",Easter Vigil (resp. 8),ABC,"Alleluia, Alleluia, Alleluia."
766,"Ps 118:1-2, 16-17, 22-23",Easter Sunday: Resurrection of the Lord,ABC,"The is the day that the Lord has made; let us rejoice and be glad." or "Alleluia."
767,"Ps 118:1+8-9, 21-23, 26+21+29",4th Sunday of Easter,B,"The stone rejected by the builders has become the cornerstone." or "Alleluia."
768,"Ps 118:2-4, 13-15, 22-24",2nd Sunday of Easter,C*,"Give thanks to the Lord for he is good, his love is everlasting." or "Alleluia."
769,"Ps 119:1-2, 4-5, 17-18, 33-34",6th Sunday in Ordinary Time,A,"Blessed are they who follow the law of the Lord!"
770,"Ps 119:57+72, 76-77, 127-128, 129-130",17th Sunday in Ordinary Time,A,"Lord, I love your commands."
771,"Ps 121:1-2, 3-4, 5-6, 7-8",29th Sunday in Ordinary Time,C,"Our help is from the Lord, who made heaven and earth."
772,"Ps 122:1-2, 3-4a, 4b-5",34th Sunday in Ord. Time: Christ the King,C,"Let us go rejoicing to the house of the Lord."
773,"Ps 122:1-2, 3-4a, 4b-5, 6-7, 8-9",1st Sunday of Advent,A*,"Let us go rejoicing to the house of the Lord."
774,"Ps 123:1-2a, 2bc, 3-4",14th Sunday in Ordinary Time,B,"Our eyes are fixed on the Lord, pleading for his mercy."
775,"Ps 126:1-2a, 2b-3, 4-5, 6",2nd Sunday of Advent,C,"The Lord has done great things for us; we are filled with joy."
776,"Ps 126:1-2a, 2b-3, 4-5, 6",5th Sunday of Lent,C,"The Lord has done great things for us; we are filled with joy."
777,"Ps 126:1-2a, 2b-3, 4-5, 6",30th Sunday in Ordinary Time,B,"The Lord has done great things for us; we are filled with joy."
778,"Ps 128:1-2, 3, 4-5",Sunday in Octave of Christmas: Holy Family,ABC,"Blessed are those who fear the Lord and walk in his ways."
779,"Ps 128:1-2, 3, 4-5",33rd Sunday in Ordinary Time,A,"Blessed are those who fear the Lord."
780,"Ps 128:1-2, 3, 4-5, 6",27th Sunday in Ordinary Time,B,"May the Lord bless us all the days of our lives."
781,"Ps 130:1-2, 3-4, 5-6, 7-8",5th Sunday of Lent,A,"With the Lord there is mercy and fullness of redemption."
782,"Ps 130:1-2, 3-4, 5-6, 7-8",10th Sunday in Ordinary Time,B,"With the Lord there is mercy, and fullness of redemption."
783,"Ps 131:1, 2, 3",31st Sunday in Ordinary Time,A,"In you, Lord, I have found my peace."
784,"Ps 132:6-7, 9-10, 13-14","Aug 15: Assumption of the BVMary, Vigil",,"Lord, go up to the place of your rest, you and the ark of your holiness."
785,"Ps 137:1-2, 3, 4-5, 6",4th Sunday of Lent,B,"Let my tongue be silenced, if I ever forget you!"
786,"Ps 138:1-2a, 2b-3, 4-5, 7-8",5th Sunday in Ordinary Time,C,"In the sight of the angels I will sing your praises, Lord."
787,"Ps 138:1-2a, 2b-3, 6-7a, 7b-8",17th Sunday in Ordinary Time,C,"Lord, on the day I called for help, you answered me."
788,"Ps 138:1-2a, 2b-3, 6+8",21st Sunday in Ordinary Time,A,"Lord, your love is eternal; do not forsake the work of your hands."
789,"Ps 139:1b-3, 13-14ab, 14c-15","June 24: Nativity of St. John the Baptist, Day",,"I praise you for I am wonderfully made."
790,"Ps 145:1-2, 8-9, 10-11, 13-14",14th Sunday in Ordinary Time,A,"I will praise your name forever, my king and my God." or "Alleluia."
791,"Ps 145:1-2, 8-9, 10-11, 13b-14",31st Sunday in Ordinary Time,C,"I will praise your name forever, my king and my God."
792,"Ps 145:2-3, 8-9, 17-18",25th Sunday in Ordinary Time,A,"The Lord is near to all who call upon him."
793,"Ps 145:8-9, 10-11, 12-13",5th Sunday of Easter,C,"I will praise your name forever, my king and my God." or "Alleluia."
794,"Ps 145:8-9, 15-16, 17-18",18th Sunday in Ordinary Time,A,"The hand of the Lord feeds us; he answers all our needs."
795,"Ps 145:10-11, 15-16, 17-18",17th Sunday in Ordinary Time,B,"The hand of the Lord feeds us; he answers all our needs."
796,"Ps 146:6c-7, 8-9a, 9b-10",3rd Sunday of Advent,A,"Lord, come and save us." (Isa 35:4) or "Alleluia."
797,"Ps 146:6c-7, 8-9a, 9b-10",4th Sunday in Ordinary Time,A,"Blessed are the poor in spirit; the kingdom of heaven is theirs!" (Matt 5:3) or "Alleluia."
798,"Ps 146:6c-7, 8-9a, 9b-10",23rd Sunday in Ordinary Time,B,"Praise the Lord, my soul!" or "Alleluia."
799,"Ps 146:6c-7, 8-9a, 9b-10",26th Sunday in Ordinary Time,C,"Praise the Lord, my soul!" or "Alleluia."
800,"Ps 146:6c-7, 8-9a, 9b-10",32nd Sunday in Ordinary Time,B,"Praise the Lord, my soul!" or "Alleluia."
801,"Ps 147:1-2, 3-4, 5-6",5th Sunday in Ordinary Time,B,"Praise the Lord, who heals the brokenhearted." or "Alleluia."
802,"Ps 147:12-13, 14-15, 19-20",2nd Sunday after Christmas,ABC,"The Word of God became man and lived among us." (John 1:14) or "Alleluia."
803,"Ps 147:12-13, 14-15, 19-20",Sunday after Trinity Sun: Body & Blood of Christ,A,"Praise the Lord, Jerusalem." or "Alleluia."
