ValidationDropDownList	Hymnal	HymnNumber	PD	FirstLine	Tune	Metre	Occasion	EHNote	EHNote2
C110 Christ is our King, let the whole world rejoice	CH:Celebration Hymnal for Everyone	110		Christ is our King, let the whole world rejoice					
C111 Christ is the world’s light	CH:Celebration Hymnal for Everyone	111		Christ is the world’s light					
C112 Christ the Lord is risen today	CH:Celebration Hymnal for Everyone	112	*	Christ the Lord is risen today					
C113 Christ triumphant	CH:Celebration Hymnal for Everyone	113		Christ triumphant					
C114 Christ’s church shall glory in his power	CH:Celebration Hymnal for Everyone	114		Christ’s church shall glory in his power					
C115 Christ’s is the world in which we move	CH:Celebration Hymnal for Everyone	115		Christ’s is the world in which we move					
C116 Christus vincit	CH:Celebration Hymnal for Everyone	116	*	Christus vincit					
C117 City of God, how broad and far	CH:Celebration Hymnal for Everyone	117	*	City of God, how broad and far					
C118 Colours of day	CH:Celebration Hymnal for Everyone	118		Colours of day					
C119 Come, adore this wondrous presence	CH:Celebration Hymnal for Everyone	119		Come, adore this wondrous presence					
C12 Again the Lord’s own day	CH:Celebration Hymnal for Everyone	12	*	Again the Lord’s own day					
C120 Come and be light for our eyes	CH:Celebration Hymnal for Everyone	120		Come and be light for our eyes					
C121 Come and praise the Lord our King	CH:Celebration Hymnal for Everyone	121	*	Come and praise the Lord our King					
C122 Come back to me	CH:Celebration Hymnal for Everyone	122		Come back to me					
C123 Come, Christian people	CH:Celebration Hymnal for Everyone	123		Come, Christian people					
C124 Come, come, come to the manger	CH:Celebration Hymnal for Everyone	124	*	Come, come, come to the manger					
C125 Come down, O love divine	CH:Celebration Hymnal for Everyone	125	*	Come down, O love divine					
C126 Come, Holy Ghost Creator, come	CH:Celebration Hymnal for Everyone	126	*	Come, Holy Ghost Creator, come					
C127 Come! Live in the light	CH:Celebration Hymnal for Everyone	127		Come! Live in the light					
C128 Come, Lord Jesus, come	CH:Celebration Hymnal for Everyone	128		Come, Lord Jesus, come					
C129 Come, O divine Messiah	CH:Celebration Hymnal for Everyone	129	*	Come, O divine Messiah					
C13 Ah, holy Jesus, how hast thou offended	CH:Celebration Hymnal for Everyone	13	*	Ah, holy Jesus, how hast thou offended					
C130 Come, O God of all the earth	CH:Celebration Hymnal for Everyone	130		Come, O God of all the earth					
C131 Come, praise the Lord, the almighty	CH:Celebration Hymnal for Everyone	131		Come, praise the Lord, the almighty					
C132 Come, Saviour, come like dew	CH:Celebration Hymnal for Everyone	132	*	Come, Saviour, come like dew					
C133 Come, thou long–expected Jesus	CH:Celebration Hymnal for Everyone	133	*	Come, thou long–expected Jesus					
C134 Come to me, all who labour	CH:Celebration Hymnal for Everyone	134		Come to me, all who labour					
C135 Come to set us free	CH:Celebration Hymnal for Everyone	135		Come to set us free					
C136 Come, ye thankful people, come	CH:Celebration Hymnal for Everyone	136	*	Come, ye thankful people, come					
C137 Confitemini Domino	CH:Celebration Hymnal for Everyone	137		Confitemini Domino					
C138 Creator of the stars of night	CH:Celebration Hymnal for Everyone	138	*	Creator of the stars of night					
C139 Crown him with many crowns	CH:Celebration Hymnal for Everyone	139	*	Crown him with many crowns					
C14 All creation, bless the Lord	CH:Celebration Hymnal for Everyone	14		All creation, bless the Lord					
C140 Daily, daily, sing to Mary	CH:Celebration Hymnal for Everyone	140	*	Daily, daily, sing to Mary					
C141 Day and night the heav’ns are telling	CH:Celebration Hymnal for Everyone	141		Day and night the heav’ns are telling					
C142 Day is done, but Love unfailing	CH:Celebration Hymnal for Everyone	142		Day is done, but Love unfailing					
C143 Dear Lord and Father of mankind	CH:Celebration Hymnal for Everyone	143	*	Dear Lord and Father of mankind					
C144 Dear love of my heart	CH:Celebration Hymnal for Everyone	144		Dear love of my heart					
C145 Deep within I will plant my law	CH:Celebration Hymnal for Everyone	145		Deep within I will plant my law					
C146 Ding dong! Merrily on high	CH:Celebration Hymnal for Everyone	146		Ding dong! Merrily on high					
C147 Do not be afraid	CH:Celebration Hymnal for Everyone	147		Do not be afraid					
C148 Do not worry over what to eat	CH:Celebration Hymnal for Everyone	148		Do not worry over what to eat					
C149 Dona nobis pacem	CH:Celebration Hymnal for Everyone	149	*	Dona nobis pacem					
C15 All creatures of our God and King	CH:Celebration Hymnal for Everyone	15		All creatures of our God and King					
C150 Draw nigh and take the body of the Lord	CH:Celebration Hymnal for Everyone	150	*	Draw nigh and take the body of the Lord					
C151 Eat this bread (Taizé)	CH:Celebration Hymnal for Everyone	151		Eat this bread (Taizé)					
C152 Eternal Father, strong to save	CH:Celebration Hymnal for Everyone	152	*	Eternal Father, strong to save					
C153 null	CH:Celebration Hymnal for Everyone	153		null					
C154 Eye has not seen	CH:Celebration Hymnal for Everyone	154		Eye has not seen					
C155 Flow river flow	CH:Celebration Hymnal for Everyone	155		Flow river flow					
C156 Faith of our fathers	CH:Celebration Hymnal for Everyone	156	*	Faith of our fathers					
C157 Father and life–giver	CH:Celebration Hymnal for Everyone	157	*	Father and life–giver					
C158 Father, hear the prayer we offer	CH:Celebration Hymnal for Everyone	158	*	Father, hear the prayer we offer					
C159 Father, I place into your hands	CH:Celebration Hymnal for Everyone	159		Father, I place into your hands					
C16 All for Jesus	CH:Celebration Hymnal for Everyone	16		All for Jesus					
C160 Father, in my life I see	CH:Celebration Hymnal for Everyone	160		Father, in my life I see					
C161 Father, Lord of all creation	CH:Celebration Hymnal for Everyone	161		Father, Lord of all creation					
C162 Father most holy, merciful and loving	CH:Celebration Hymnal for Everyone	162		Father most holy, merciful and loving					
C163 Father of heav’n, whose love profound	CH:Celebration Hymnal for Everyone	163	*	Father of heav’n, whose love profound					
C164 Father, we adore You	CH:Celebration Hymnal for Everyone	164		Father, we adore You					
C165 Father, we come in prayer	CH:Celebration Hymnal for Everyone	165		Father, we come in prayer					
C166 Father, we come to you	CH:Celebration Hymnal for Everyone	166		Father, we come to you					
C167 Father, we love You	CH:Celebration Hymnal for Everyone	167		Father, we love You					
C168 Father, we praise you now the night is over	CH:Celebration Hymnal for Everyone	168	*	Father, we praise you now the night is over					
C169 Fear not, rejoice and be glad	CH:Celebration Hymnal for Everyone	169		Fear not, rejoice and be glad					
C17 All glory, laud and honour	CH:Celebration Hymnal for Everyone	17	*	All glory, laud and honour					
C170 Feed my lambs, my son	CH:Celebration Hymnal for Everyone	170		Feed my lambs, my son					
C171 Fight the good fight	CH:Celebration Hymnal for Everyone	171	*	Fight the good fight					
C172 Fill my house unto the fullest	CH:Celebration Hymnal for Everyone	172		Fill my house unto the fullest					
C173 Firmly I believe and truly	CH:Celebration Hymnal for Everyone	173	*	Firmly I believe and truly					
C174 For I’m building a people of power	CH:Celebration Hymnal for Everyone	174		For I’m building a people of power					
C175 Follow me, follow me	CH:Celebration Hymnal for Everyone	175		Follow me, follow me					
C176 For all the saints	CH:Celebration Hymnal for Everyone	176	*	For all the saints					
C177 For the beauty of the earth	CH:Celebration Hymnal for Everyone	177	*	For the beauty of the earth					
C178 For the fruits of his creation	CH:Celebration Hymnal for Everyone	178		For the fruits of his creation					
C179 For the healing of the nations	CH:Celebration Hymnal for Everyone	179		For the healing of the nations					
C18 All hail the Lamb	CH:Celebration Hymnal for Everyone	18		All hail the Lamb					
C180 For unto us a child is born	CH:Celebration Hymnal for Everyone	180	*	For unto us a child is born					
C181 For You, O Lord	CH:Celebration Hymnal for Everyone	181		For You, O Lord					
C182 Forgive our sins as we forgive	CH:Celebration Hymnal for Everyone	182		Forgive our sins as we forgive					
C183 Forth in the peace of Christ	CH:Celebration Hymnal for Everyone	183		Forth in the peace of Christ					
C184 Forth in thy name	CH:Celebration Hymnal for Everyone	184	*	Forth in thy name					
C185 Forty days and forty nights	CH:Celebration Hymnal for Everyone	185	*	Forty days and forty nights					
C186 Freely, I give to you	CH:Celebration Hymnal for Everyone	186		Freely, I give to you					
C187 From heaven You came	CH:Celebration Hymnal for Everyone	187		From heaven You came					
C188 From the depths of sin and sadness	CH:Celebration Hymnal for Everyone	188		From the depths of sin and sadness					
C189 Give thanks	CH:Celebration Hymnal for Everyone	189		Give thanks					
C19 All hail the pow’r of Jesus’ name	CH:Celebration Hymnal for Everyone	19	*	All hail the pow’r of Jesus’ name					
C190 Give me joy in my heart	CH:Celebration Hymnal for Everyone	190	*	Give me joy in my heart					
C191 Give me peace, O Lord, I pray	CH:Celebration Hymnal for Everyone	191		Give me peace, O Lord, I pray					
C192 Give me yourself	CH:Celebration Hymnal for Everyone	192		Give me yourself					
C193 Give praise to the Lord	CH:Celebration Hymnal for Everyone	193		Give praise to the Lord					
C194 Glorious God, King of creation	CH:Celebration Hymnal for Everyone	194		Glorious God, King of creation					
C195 Glorious things of you are spoken	CH:Celebration Hymnal for Everyone	195	*	Glorious things of you are spoken					
C196 Glory and praise to our God	CH:Celebration Hymnal for Everyone	196		Glory and praise to our God					
C197 Glory be to Jesus	CH:Celebration Hymnal for Everyone	197	*	Glory be to Jesus					
C198 Glory to God (Peruvian Gloria)	CH:Celebration Hymnal for Everyone	198	*	Glory to God (Peruvian Gloria)					
C199 Glory to thee, Lord God	CH:Celebration Hymnal for Everyone	199		Glory to thee, Lord God					
C2 A child is born in Bethlehem	CH:Celebration Hymnal for Everyone	2		A child is born in Bethlehem					
C20 All heaven declares	CH:Celebration Hymnal for Everyone	20		All heaven declares					
C200 Glory to thee, my God, this night	CH:Celebration Hymnal for Everyone	200		Glory to thee, my God, this night					
C201 Go out to the whole world (Envoi Round)	CH:Celebration Hymnal for Everyone	201	*	Go out to the whole world (Envoi Round)					
C202 Go, tell it on the mountain	CH:Celebration Hymnal for Everyone	202	*	Go, tell it on the mountain					
C203 Go, the Mass is ended	CH:Celebration Hymnal for Everyone	203	*	Go, the Mass is ended					
C204 God, at creation’s dawn	CH:Celebration Hymnal for Everyone	204		God, at creation’s dawn					
C205 God be in my head	CH:Celebration Hymnal for Everyone	205	*	God be in my head					
C206 God be with you till we meet	CH:Celebration Hymnal for Everyone	206	*	God be with you till we meet					
C207 God, beyond all names	CH:Celebration Hymnal for Everyone	207		God, beyond all names					
C208 God everlasting, wonderful and holy	CH:Celebration Hymnal for Everyone	208		God everlasting, wonderful and holy					
C209 God forgave my sin	CH:Celebration Hymnal for Everyone	209		God forgave my sin					
C21 All my hope on God is founded	CH:Celebration Hymnal for Everyone	21	*	All my hope on God is founded					
C210 God gives his people strength	CH:Celebration Hymnal for Everyone	210		God gives his people strength					
C211 God who made the earth, the sky	CH:Celebration Hymnal for Everyone	211		God who made the earth, the sky					
C212 God has chosen me	CH:Celebration Hymnal for Everyone	212		God has chosen me					
C213 God alone	CH:Celebration Hymnal for Everyone	213		God alone					
C214 God is love, and where true love is	CH:Celebration Hymnal for Everyone	214		God is love, and where true love is					
C215 God is love, his the care	CH:Celebration Hymnal for Everyone	215		God is love, his the care					
C216 God is my great desire	CH:Celebration Hymnal for Everyone	216		God is my great desire					
C217 God is working his purpose out	CH:Celebration Hymnal for Everyone	217	*	God is working his purpose out					
C218 God of day and God of darkness	CH:Celebration Hymnal for Everyone	218		God of day and God of darkness					
C219 God of mercy and compassion	CH:Celebration Hymnal for Everyone	219	*	God of mercy and compassion					
C22 All people that on earth do dwell	CH:Celebration Hymnal for Everyone	22	*	All people that on earth do dwell					
C220 God of tender mercy, God of love	CH:Celebration Hymnal for Everyone	220		God of tender mercy, God of love					
C221 God, our fountain of salvation	CH:Celebration Hymnal for Everyone	221		God, our fountain of salvation					
C222 God, our maker, mighty Father	CH:Celebration Hymnal for Everyone	222		God, our maker, mighty Father					
C223 God rest you merry, gentlemen	CH:Celebration Hymnal for Everyone	223	*	God rest you merry, gentlemen					
C224 God the Creator, you in love made me	CH:Celebration Hymnal for Everyone	224		God the Creator, you in love made me					
C225 God, who made the earth and sky	CH:Celebration Hymnal for Everyone	225		God, who made the earth and sky					
C226 God, your glory we have seen	CH:Celebration Hymnal for Everyone	226		God, your glory we have seen					
C227 God’s spirit is in my heart	CH:Celebration Hymnal for Everyone	227		God’s spirit is in my heart					
C228 Godhead here in hiding	CH:Celebration Hymnal for Everyone	228	*	Godhead here in hiding					
C229 Good Christians all, rejoice	CH:Celebration Hymnal for Everyone	229	*	Good Christians all, rejoice					
C23 All that I am	CH:Celebration Hymnal for Everyone	23		All that I am					
C230 Good Christians all, rejoice and sing	CH:Celebration Hymnal for Everyone	230		Good Christians all, rejoice and sing					
C231 Great is the Lord my soul proclaims	CH:Celebration Hymnal for Everyone	231		Great is the Lord my soul proclaims					
C232 Great Saint Andrew	CH:Celebration Hymnal for Everyone	232	*	Great Saint Andrew					
C233 Guide me, O thou great Redeemer	CH:Celebration Hymnal for Everyone	233	*	Guide me, O thou great Redeemer					
C234 Hail, glorious Saint Patrick	CH:Celebration Hymnal for Everyone	234	*	Hail, glorious Saint Patrick					
C235 Hail, holy Joseph, hail!	CH:Celebration Hymnal for Everyone	235		Hail, holy Joseph, hail!					
C236 Hail Mary, full of grace	CH:Celebration Hymnal for Everyone	236		Hail Mary, full of grace					
C237 Hail Mary, Mother of our God	CH:Celebration Hymnal for Everyone	237		Hail Mary, Mother of our God					
C238 Hail, Queen of Heav’n	CH:Celebration Hymnal for Everyone	238	*	Hail, Queen of Heav’n					
C239 Hail, Redeemer, King divine	CH:Celebration Hymnal for Everyone	239		Hail, Redeemer, King divine					
C24 All the earth proclaim the Lord	CH:Celebration Hymnal for Everyone	24		All the earth proclaim the Lord					
C240 Hail the day that sees him rise	CH:Celebration Hymnal for Everyone	240	*	Hail the day that sees him rise					
C241 Hail to the Lord’s anointed	CH:Celebration Hymnal for Everyone	241	*	Hail to the Lord’s anointed					
C242 Null	CH:Celebration Hymnal for Everyone	242		Null					
C243 Hark! A herald voice is calling	CH:Celebration Hymnal for Everyone	243	*	Hark! A herald voice is calling					
C244 Hark, the herald angels sing	CH:Celebration Hymnal for Everyone	244	*	Hark, the herald angels sing					
C245 He became poor	CH:Celebration Hymnal for Everyone	245		He became poor					
C246 He is Lord, he is Lord	CH:Celebration Hymnal for Everyone	246	*	He is Lord, he is Lord					
C247 He is risen, tell the story	CH:Celebration Hymnal for Everyone	247		He is risen, tell the story					
C248 He who would valiant be	CH:Celebration Hymnal for Everyone	248	*	He who would valiant be					
C249 He’s got the whole world in his hand	CH:Celebration Hymnal for Everyone	249	*	He’s got the whole world in his hand					
C25 All the ends of the earth	CH:Celebration Hymnal for Everyone	25		All the ends of the earth					
C250 Hear my cry, O God	CH:Celebration Hymnal for Everyone	250		Hear my cry, O God					
C251 Hear us, almighty Lord (Attende Domine)	CH:Celebration Hymnal for Everyone	251		Hear us, almighty Lord (Attende Domine)					
C252 Help, Lord, the souls that thou hast made	CH:Celebration Hymnal for Everyone	252	*	Help, Lord, the souls that thou hast made					
C253 Here in this place	CH:Celebration Hymnal for Everyone	253		Here in this place					
C254 Here’s a child for you, O Lord	CH:Celebration Hymnal for Everyone	254		Here’s a child for you, O Lord					
C255 Hills of the north, rejoice	CH:Celebration Hymnal for Everyone	255	*	Hills of the north, rejoice					
C256 Holy Father, God of might	CH:Celebration Hymnal for Everyone	256		Holy Father, God of might					
C257 Holy God, we praise thy name	CH:Celebration Hymnal for Everyone	257	*	Holy God, we praise thy name					
C258 Holy, holy, holy, holy (Owens)	CH:Celebration Hymnal for Everyone	258		Holy, holy, holy, holy (Owens)					
C259 Holy, holy, holy! Lord God almighty	CH:Celebration Hymnal for Everyone	259	*	Holy, holy, holy! Lord God almighty					
C26 All the nations of the earth	CH:Celebration Hymnal for Everyone	26		All the nations of the earth					
C260 Holy Spirit, hear us; help us while we sing	CH:Celebration Hymnal for Everyone	260	*	Holy Spirit, hear us; help us while we sing					
C261 Holy Spirit, Lord of light	CH:Celebration Hymnal for Everyone	261	*	Holy Spirit, Lord of light					
C262 Holy Spirit of fire	CH:Celebration Hymnal for Everyone	262	*	Holy Spirit of fire					
C263 Holy Virgin, by God’s decree	CH:Celebration Hymnal for Everyone	263		Holy Virgin, by God’s decree					
C264 Hosanna… Blessed is he	CH:Celebration Hymnal for Everyone	264		Hosanna… Blessed is he					
C265 Hosanna, loud hosanna	CH:Celebration Hymnal for Everyone	265	*	Hosanna, loud hosanna					
C266 How brightly beams the morning star	CH:Celebration Hymnal for Everyone	266		How brightly beams the morning star					
C267 How dark was the stable	CH:Celebration Hymnal for Everyone	267		How dark was the stable					
C268 How lovely on the mountains	CH:Celebration Hymnal for Everyone	268		How lovely on the mountains					
C269 How shall they hear the word of God	CH:Celebration Hymnal for Everyone	269		How shall they hear the word of God					
C27 All things bright and beautiful	CH:Celebration Hymnal for Everyone	27	*	All things bright and beautiful					
C270 I am a new creation	CH:Celebration Hymnal for Everyone	270		I am a new creation					
C271 I am the bread of life (Konstant)	CH:Celebration Hymnal for Everyone	271		I am the bread of life (Konstant)					
C272 I am the Bread of life (Toolan)	CH:Celebration Hymnal for Everyone	272		I am the Bread of life (Toolan)					
C273 I am the vine, you are the branches	CH:Celebration Hymnal for Everyone	273		I am the vine, you are the branches					
C274 I bind unto myself today	CH:Celebration Hymnal for Everyone	274	*	I bind unto myself today					
C275 I danced in the morning	CH:Celebration Hymnal for Everyone	275		I danced in the morning					
C276 I have loved you with an everlasting love	CH:Celebration Hymnal for Everyone	276		I have loved you with an everlasting love					
C277 I lift my eyes to the mountains (Norbert)	CH:Celebration Hymnal for Everyone	277		I lift my eyes to the mountains (Norbert)					
C278 I lift up my eyes (Huijbers)	CH:Celebration Hymnal for Everyone	278		I lift up my eyes (Huijbers)					
C279 I met you at the cross	CH:Celebration Hymnal for Everyone	279		I met you at the cross					
C28 All this world belongs to Jesus	CH:Celebration Hymnal for Everyone	28		All this world belongs to Jesus					
C280 I received the living God	CH:Celebration Hymnal for Everyone	280	*	I received the living God					
C281 I rejoiced when I heard them say	CH:Celebration Hymnal for Everyone	281		I rejoiced when I heard them say					
C282 I saw a star up high	CH:Celebration Hymnal for Everyone	282		I saw a star up high					
C283 I saw the grass	CH:Celebration Hymnal for Everyone	283		I saw the grass					
C284 I sing a song to you, Lord	CH:Celebration Hymnal for Everyone	284		I sing a song to you, Lord					
C285 I, the Lord of sea and sky	CH:Celebration Hymnal for Everyone	285		I, the Lord of sea and sky					
C286 I vow to thee, my country	CH:Celebration Hymnal for Everyone	286	*	I vow to thee, my country					
C287 I was born before creation	CH:Celebration Hymnal for Everyone	287		I was born before creation					
C288 I watch the sunrise	CH:Celebration Hymnal for Everyone	288		I watch the sunrise					
C289 I will be with you	CH:Celebration Hymnal for Everyone	289		I will be with you					
C29 All who claim the faith of Jesus	CH:Celebration Hymnal for Everyone	29	*	All who claim the faith of Jesus					
C290 I will never forget you	CH:Celebration Hymnal for Everyone	290		I will never forget you					
C291 I will sing, I will sing	CH:Celebration Hymnal for Everyone	291		I will sing, I will sing					
C292 I wonder as I wander	CH:Celebration Hymnal for Everyone	292	*	I wonder as I wander					
C293 I’ll sing a hymn to Mary	CH:Celebration Hymnal for Everyone	293	*	I’ll sing a hymn to Mary					
C294 I’ll sing God’s praises	CH:Celebration Hymnal for Everyone	294		I’ll sing God’s praises					
C295 If God is for us, who can be against	CH:Celebration Hymnal for Everyone	295		If God is for us, who can be against					
C296 If God is our defender	CH:Celebration Hymnal for Everyone	296		If God is our defender					
C297 If God should lead us home	CH:Celebration Hymnal for Everyone	297		If God should lead us home					
C298 If I were a butterfly	CH:Celebration Hymnal for Everyone	298		If I were a butterfly					
C299 If you would follow me	CH:Celebration Hymnal for Everyone	299		If you would follow me					
C3 A mighty stronghold is our God	CH:Celebration Hymnal for Everyone	3		A mighty stronghold is our God					
C30 All you nations sing out your joy	CH:Celebration Hymnal for Everyone	30		All you nations sing out your joy					
C300 Immaculate Mary	CH:Celebration Hymnal for Everyone	300		Immaculate Mary					
C301 Immortal, invisible	CH:Celebration Hymnal for Everyone	301	*	Immortal, invisible					
C302 In bread we bring you, Lord	CH:Celebration Hymnal for Everyone	302		In bread we bring you, Lord					
C303 In Christ there is no east or west	CH:Celebration Hymnal for Everyone	303		In Christ there is no east or west					
C304 In the abundance of your compassion	CH:Celebration Hymnal for Everyone	304		In the abundance of your compassion					
C305 In the bleak midwinter	CH:Celebration Hymnal for Everyone	305	*	In the bleak midwinter					
C306 In the earth a small seed is hidden	CH:Celebration Hymnal for Everyone	306		In the earth a small seed is hidden					
C307 In the land there is a hunger	CH:Celebration Hymnal for Everyone	307		In the land there is a hunger					
C308 In the Lord I’ll be ever thankful (Taizé)	CH:Celebration Hymnal for Everyone	308		In the Lord I’ll be ever thankful (Taizé)					
C309 In your love remember me	CH:Celebration Hymnal for Everyone	309		In your love remember me					
C31 All ye who seek a comfort sure	CH:Celebration Hymnal for Everyone	31	*	All ye who seek a comfort sure					
C310 Infant holy, infant lowly	CH:Celebration Hymnal for Everyone	310	*	Infant holy, infant lowly					
C311 Inspired by love and anger	CH:Celebration Hymnal for Everyone	311		Inspired by love and anger					
C312 Into one we all are gathered	CH:Celebration Hymnal for Everyone	312		Into one we all are gathered					
C314 It came upon the midnight clear	CH:Celebration Hymnal for Everyone	314	*	It came upon the midnight clear					
C315 It is good to give thanks	CH:Celebration Hymnal for Everyone	315		It is good to give thanks					
C316 It’s me, it’s me, it’s me, O Lord	CH:Celebration Hymnal for Everyone	316	*	It’s me, it’s me, it’s me, O Lord					
C317 Jerusalem the golden	CH:Celebration Hymnal for Everyone	317	*	Jerusalem the golden					
C318 Jesu, Jesu, fill us with your love	CH:Celebration Hymnal for Everyone	318		Jesu, Jesu, fill us with your love					
C319 Jesu, lover of my soul	CH:Celebration Hymnal for Everyone	319	*	Jesu, lover of my soul					
C32 Alleluia, alleluia, give thanks	CH:Celebration Hymnal for Everyone	32		Alleluia, alleluia, give thanks					
C320 Jesu, meek and lowly	CH:Celebration Hymnal for Everyone	320	*	Jesu, meek and lowly					
C321 Jesu, the very thought of thee	CH:Celebration Hymnal for Everyone	321	*	Jesu, the very thought of thee					
C322 Jesus Christ is ris’n today	CH:Celebration Hymnal for Everyone	322	*	Jesus Christ is ris’n today					
C323 Jesus Christ is waiting	CH:Celebration Hymnal for Everyone	323		Jesus Christ is waiting					
C324 Jesus Christ, little Lord	CH:Celebration Hymnal for Everyone	324		Jesus Christ, little Lord					
C325 Jesus, gentlest Saviour	CH:Celebration Hymnal for Everyone	325	*	Jesus, gentlest Saviour					
C326 Jesus is Lord! Creation’s voice proclaims it	CH:Celebration Hymnal for Everyone	326		Jesus is Lord! Creation’s voice proclaims it					
C327 Jesus, lead the way	CH:Celebration Hymnal for Everyone	327	*	Jesus, lead the way					
C328 Jesus, Lord, I’ll sing a song	CH:Celebration Hymnal for Everyone	328		Jesus, Lord, I’ll sing a song					
C329 Jesus, my Lord, my God, my all	CH:Celebration Hymnal for Everyone	329	*	Jesus, my Lord, my God, my all					
C33 Alleluia, alleluia! I will praise the Father	CH:Celebration Hymnal for Everyone	33		Alleluia, alleluia! I will praise the Father					
