PrayerID	PrayerText
MarianCollect-Christmastide	(After the ANGELUS:) Let us pray. O God, Who by the fruitful virginity of blessed Mary, hast given to mankind the rewards of eternal salvation: grant, we beseech Thee, that we may experience her intercession for us, through whom we deserved to receive the Author of life, our Lord Jesus Christ, thy Son. * Amen.
MarianCollect-Lent	(After the ANGELUS:) Let us pray. We beseech thee, O Lord, mercifully to assist our infirmity: that like as we do now commemorate Blessed Mary Ever-Virgin, Mother of God; so by the help of her intercession we may die to our former sins and rise again to newness of life. Through Christ our Lord. * Amen.
MarianCollect-Eastertide	(After the ANGELUS:) Let us pray. O God, by the Resurrection of thy Son, our Lord Jesus Christ, hast brought joy to the whole world: grant that, by the help of his mother, the Virgin Mary, we may obtain the joys of everlasting life; through Christ the Lord. * Amen. 
MarianCollect-Trinitytide	(After the ANGELUS:) Let us pray. We beseech Thee, O Lord, pour Thy grace into our hearts that as we have known the Incarnation of Thy Son, Jesus Christ, by the message of an angel, so by His Cross ✠ and Passion we may be brought to the glory of His Resurrection, through the same Jesus Christ, our Lord. * Amen.
MarianAnthem-Advent-Candlemas-Latin	Marian Anthem in Advent through Candlemas: Alma Redemptóris Mater Alma Redemptoris Mater, quae pervia caeli porta manes et stella maris, succurre cadenti, surgere qui curat, populo: tu quae genuisti, natura mirante, tuum sanctum genitorem, Virgo prius, ac posterius, Gabrielis ab ore sumens illud ave, peccatorum miserere.  ℣. Ángelus Dómini nuntiávit Maríæ * Et concépit de Spíritu Sancto.
MarianAnthem-PreLent-Lent-Latin	Marian Anthem in Pre-Lent. Ave Regina Caelorum Ave regina caelorum, ave domina angelorum: salve radix, salve porta, ex qua mundo lux est orta: Gaude Virgo, gloriosa, super omnes speciosa, vale o valde decora, et pro nobis Christum exora.
MarianAnthem-Eastertide-Latin	Marian Anthem in Eastertide: Regina Caeli Regina caeli, laetare, alleluia; quia quem meruisti portare, alleluia; resurrexit sicut dixit, alleluia; ora pro nobis Deum, alleluia.  Gaude et laetare, Virgo Maria, alleluia. * Quia surrexit Dominus vere, alleluia.
MarianAnthem-Trinitytide-Latin	Marian Anthem in Trinitytide: Salve Regina Salve Regina, mater misericordiae, vita, dulcedo, et spes nostra salve. Ad te clamamus, exules filii Evae. Ad te suspiramus, gementes et flentes, in hac lacrimarum valle. Eia ergo, advocate nostra, illos tuos misericordes oculos, ad nos converte. Et Jesum, benedictum fructum ventris tui, nobis post hoc exsilium ostende. O Clemens, o pia, o dulcis virgo Maria.
Purity	Collect for Purity (said together) Almighty God, unto whom all hearts be open, all desires known, and from whom no secrets are hid: cleanse the thoughts of our hearts by the inspiration of thy Holy Spirit, that we may perfectly love thee, and worthily magnify thy holy name: through Christ our Lord. Amen.
Sequence-Lent	At the Cross her station keeping, Stood the mournful Mother weeping, Close to Jesus to the last:  Through her heart, his sorrow sharing, All his bitter anguish bearing, now at length the sword has pass'd.  Oh, how sad and sore distress'd Was that Mother highly blest Of the sole-begotten One!  Christ above in torment hangs; She beneath beholds the pangs Of her dying glorious Son.  Is there one who would not weep, Whelm'd in miseries so deep, Christ's dear Mother to behold?  Can the human heart refrain From partaking in her pain, In that Mother's pain untold?  Bruis'd, derided, curs'd, defil'd, She beheld her tender Child All with bloody scourges rent;  For the sins of his own nation, Saw Him hang in desolation, Till His Spirit forth He sent.  O thou Mother! fount of love! Touch my spirit from above, Make my heart with thine accord:  Make me feel as thou hast felt; Make my soul to glow and melt With the love of Christ my Lord.  Holy Mother! pierce me through; In my heart each wound renew Of my Saviour crucified:  Let me share with thee His pain, Who for all my sins was slain, Who for me in torments died.  Let me mingle tears with thee, Mourning Him who mourn'd for me, All the days that I may live:  By the Cross with thee to stay; There with thee to weep and pray; Is all I ask of thee to give.  Virgin of all virgins blest!, Listen to my fond request: Let me share thy grief divine;  Let me, to my latest breath, In my body bear the death Of that dying Son of thine.  Wounded with his every wound, Steep my soul till it hath swoon'd, In His very blood away;  Be to me, O Virgin, nigh, Lest in flames I burn and die, In his awful Judgment day.  Christ, when Thou shalt call me hence, Be Thy Mother my defence, Be Thy Cross my victory;  While my body here decays, May my soul thy goodness praise, Safe in Paradise with Thee. (Tr. Edward Caswall)
Sequence-Lent-Latin	1. Stabat mater dolorósa juxta Crucem lacrimósa, dum pendébat Fílius.  2. Cuius ánimam geméntem, contristátam et doléntem pertransívit gládius.  3. O quam tristis et afflícta fuit illa benedícta, mater Unigéniti!  4. Quae mœrébat et dolébat, pia Mater, dum vidébat nati pœnas ínclyti.  5. Quis est homo qui non fleret, matrem Christi si vidéret in tanto supplício?  6. Quis non posset contristári Christi Matrem contemplári doléntem cum Fílio?  7. Pro peccátis suæ gentis vidit Jésum in torméntis, et flagéllis súbditum.  8. Vidit suum dulcem Natum moriéndo desolátum, dum emísit spíritum.  9. Eja, Mater, fons amóris me sentíre vim dolóris fac, ut tecum lúgeam.  10. Fac, ut árdeat cor meum in amándo Christum Deum ut sibi compláceam.  11. Sancta Mater, istud agas, crucifíxi fige plagas cordi meo válide.  12. Tui Nati vulneráti, tam dignáti pro me pati, pœnas mecum dívide.  13. Fac me tecum pie flere, crucifíxo condolére, donec ego víxero.  14. Juxta Crucem tecum stare, et me tibi sociáre in planctu desídero.  15. Virgo vírginum præclára, mihi iam non sis amára, fac me tecum plángere.  16. Fac ut portem Christi mortem, passiónis fac consórtem, et plagas recólere.  17. Fac me plagis vulnerári, fac me Cruce inebriári, et cruóre Fílii.  18. Flammis ne urar succénsus, per te, Virgo, sim defénsus in die iudícii.  19. Christe, cum sit hinc exire, da per Matrem me veníre ad palmam victóriæ.  20. Quando corpus moriétur, fac, ut ánimæ donétur paradísi glória.
Summary	The Summary of the Law (said by Deacon or Celebrant) Hear what our Lord Jesus Christ saith: Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind. This is the first and great commandment. And the second is like unto it: Thou shalt love thy neighbour as thyself. On these two commandments hang all the Law and the Prophets.
