Key	PrintedLessonReference	LectorReference	LectorText	PropersID	Y	R	LessonReference	RSVCELessonText	ESVCELessonText	CoverdaleText	BCPLookup	ChronSeq	BookNames_en	BlankColumn
ADVENT III A 2	Psalms 146	Book of Psalms	5 Who made heaven and earth, the sea, and all that therein is * who keepeth his promise for ever; 6 Who helpeth them to right that suffer wrong * who feedeth the hungry. 7 The Lord looseth men out of prison * the Lord giveth sight to the blind. 8 The Lord helpeth them that are fallen * the Lord careth for the righteous. 9 The Lord careth for the strangers, he defendeth the fatherless and widow * as for the way of the ungodly, he turneth it upside down.	ADVENT III	A	2	Psalms 146:6-10	5 Happy is he whose help is the God of Jacob, whose hope is in the LORD his God, 6 who made heaven and earth, the sea, and all that is in them; who keeps faith for ever; 7 who executes justice for the oppressed; who gives food to the hungry. The LORD sets the prisoners free; 8 the LORD opens the eyes of the blind. The LORD lifts up those who are bowed down; the LORD loves the righteous. 9 The LORD watches over the sojourners, he upholds the widow and the fatherless; but the way of the wicked he brings to ruin.		5 Who made heaven and earth, the sea, and all that therein is * who keepeth his promise for ever; 6 Who helpeth them to right that suffer wrong * who feedeth the hungry. 7 The Lord looseth men out of prison * the Lord giveth sight to the blind. 8 The Lord helpeth them that are fallen * the Lord careth for the righteous. 9 The Lord careth for the strangers, he defendeth the fatherless and widow * as for the way of the ungodly, he turneth it upside down.	Psalms146.5|Psalms146.6|Psalms146.7|Psalms146.8|Psalms146.9|	1010	Psalms	
ADVENT III A 3	James 5:7-10	Epistle of St James	7 Be patient, therefore, brethren, until the coming of the Lord. Behold, the farmer waits for the precious fruit of the earth, being patient over it until it receives the early and the late rain. 8 You also be patient. Establish your hearts, for the coming of the Lord is at hand. 9 Do not grumble, brethren, against one another, that you may not be judged; behold, the Judge is standing at the doors. 10 As an example of suffering and patience, brethren, take the prophets who spoke in the name of the Lord.	ADVENT III	A	3	James 5:7-10	7 Be patient, therefore, brethren, until the coming of the Lord. Behold, the farmer waits for the precious fruit of the earth, being patient over it until it receives the early and the late rain. 8 You also be patient. Establish your hearts, for the coming of the Lord is at hand. 9 Do not grumble, brethren, against one another, that you may not be judged; behold, the Judge is standing at the doors. 10 As an example of suffering and patience, brethren, take the prophets who spoke in the name of the Lord.				1011	James	
ADVENT III A 4	Matthew 11:2-11	Gospel of our Lord Jesus Christ according to St Matthew	2 Now when John heard in prison about the deeds of the Christ, he sent word by his disciples 3 and said to him, "Are you he who is to come, or shall we look for another?" 4 And Jesus answered them, "Go and tell John what you hear and see: 5 the blind receive their sight and the lame walk, lepers are cleansed and the deaf hear, and the dead are raised up, and the poor have good news preached to them. 6 And blessed is he who takes no offense at me." 7 As they went away, Jesus began to speak to the crowds concerning John: "What did you go out into the wilderness to behold? A reed shaken by the wind? 8 Why then did you go out? To see a man clothed in soft raiment? Behold, those who wear soft raiment are in kings' houses. 9 Why then did you go out? To see a prophet? Yes, I tell you, and more than a prophet. 10 This is he of whom it is written, `Behold, I send my messenger before thy face, who shall prepare thy way before thee.' 11 Truly, I say to you, among those born of women there has risen no one greater than John the Baptist; yet he who is least in the kingdom of heaven is greater than he.	ADVENT III	A	4	Matthew 11:2-11	2 Now when John heard in prison about the deeds of the Christ, he sent word by his disciples 3 and said to him, "Are you he who is to come, or shall we look for another?" 4 And Jesus answered them, "Go and tell John what you hear and see: 5 the blind receive their sight and the lame walk, lepers are cleansed and the deaf hear, and the dead are raised up, and the poor have good news preached to them. 6 And blessed is he who takes no offense at me." 7 As they went away, Jesus began to speak to the crowds concerning John: "What did you go out into the wilderness to behold? A reed shaken by the wind? 8 Why then did you go out? To see a man clothed in soft raiment? Behold, those who wear soft raiment are in kings' houses. 9 Why then did you go out? To see a prophet? Yes, I tell you, and more than a prophet. 10 This is he of whom it is written, `Behold, I send my messenger before thy face, who shall prepare thy way before thee.' 11 Truly, I say to you, among those born of women there has risen no one greater than John the Baptist; yet he who is least in the kingdom of heaven is greater than he.				1012	Matthew	
ADVENT IV A 1	Isaiah 7:10-14	Book of the Prophet Isaiah	10 Again the LORD spoke to Ahaz, 11 "Ask a sign of the LORD your God; let it be deep as Sheol or high as heaven." 12 But Ahaz said, "I will not ask, and I will not put the LORD to the test." 13 And he said, "Hear then, O house of David! Is it too little for you to weary men, that you weary my God also? 14 Therefore the Lord himself will give you a sign. Behold, a young woman shall conceive and bear a son, and shall call his name Imman'u-el.	ADVENT IV	A	1	Isaiah 7:10-14	10 Again the LORD spoke to Ahaz, 11 "Ask a sign of the LORD your God; let it be deep as Sheol or high as heaven." 12 But Ahaz said, "I will not ask, and I will not put the LORD to the test." 13 And he said, "Hear then, O house of David! Is it too little for you to weary men, that you weary my God also? 14 Therefore the Lord himself will give you a sign. Behold, a young woman shall conceive and bear a son, and shall call his name Imman'u-el.				1013	Isaiah	
ADVENT IV A 2	Psalms 24	Book of Psalms	1 THE earth is the Lord's, and all that therein is * the compass of the world, and they that dwell therein. 2 For he hath founded it upon the seas * and prepared it upon the floods. 3 Who shall ascend into the hill of the Lord * or who shall rise up in his holy place? 4 Even he that hath clean hands, and a pure heart * and that hath not lift up his mind unto vanity, nor sworn to deceive his neighbour. 5 He shall receive the blessing from the Lord * and righteousness from the God of his salvation. 6 This is the generation of them that seek him * even of them that seek thy face, O Jacob.	ADVENT IV	A	2	Psalms 24:1-6	1 The earth is the LORD's and the fulness thereof, the world and those who dwell therein; 2 for he has founded it upon the seas, and established it upon the rivers. 3 Who shall ascend the hill of the LORD? And who shall stand in his holy place? 4 He who has clean hands and a pure heart, who does not lift up his soul to what is false, and does not swear deceitfully. 5 He will receive blessing from the LORD, and vindication from the God of his salvation. 6 Such is the generation of those who seek him, who seek the face of the God of Jacob. 		1 THE earth is the Lord's, and all that therein is * the compass of the world, and they that dwell therein. 2 For he hath founded it upon the seas * and prepared it upon the floods. 3 Who shall ascend into the hill of the Lord * or who shall rise up in his holy place? 4 Even he that hath clean hands, and a pure heart * and that hath not lift up his mind unto vanity, nor sworn to deceive his neighbour. 5 He shall receive the blessing from the Lord * and righteousness from the God of his salvation. 6 This is the generation of them that seek him * even of them that seek thy face, O Jacob.	Psalms24.1|Psalms24.2|Psalms24.3|Psalms24.4|Psalms24.5|Psalms24.6|	1014	Psalms	
ADVENT IV A 3	Romans 1:1-7	Epistle of St Paul to the Romans	1 Paul, a servant of Jesus Christ, called to be an apostle, set apart for the gospel of God 2 which he promised beforehand through his prophets in the holy scriptures, 3 the gospel concerning his Son, who was descended from David according to the flesh 4 and designated Son of God in power according to the Spirit of holiness by his resurrection from the dead, Jesus Christ our Lord, 5 through whom we have received grace and apostleship to bring about the obedience of faith for the sake of his name among all the nations, 6 including yourselves who are called to belong to Jesus Christ; 7 To all God's beloved in Rome, who are called to be saints: Grace to you and peace from God our Father and the Lord Jesus Christ.	ADVENT IV	A	3	Romans 1:1-7	1 Paul, a servant of Jesus Christ, called to be an apostle, set apart for the gospel of God 2 which he promised beforehand through his prophets in the holy scriptures, 3 the gospel concerning his Son, who was descended from David according to the flesh 4 and designated Son of God in power according to the Spirit of holiness by his resurrection from the dead, Jesus Christ our Lord, 5 through whom we have received grace and apostleship to bring about the obedience of faith for the sake of his name among all the nations, 6 including yourselves who are called to belong to Jesus Christ; 7 To all God's beloved in Rome, who are called to be saints: Grace to you and peace from God our Father and the Lord Jesus Christ.				1015	Romans	
ADVENT IV A 4	Matthew 1:18-25	Gospel of our Lord Jesus Christ according to St Matthew	18 Now the birth of Jesus Christ took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child of the Holy Spirit; 19 and her husband Joseph, being a just man and unwilling to put her to shame, resolved to divorce her quietly. 20 But as he considered this, behold, an angel of the Lord appeared to him in a dream, saying, "Joseph, son of David, do not fear to take Mary your wife, for that which is conceived in her is of the Holy Spirit; 21 she will bear a son, and you shall call his name Jesus, for he will save his people from their sins." 22 All this took place to fulfil what the Lord had spoken by the prophet: 23 "Behold, a virgin shall conceive and bear a son, and his name shall be called Emmanuel" (which means, God with us). 24 When Joseph woke from sleep, he did as the angel of the Lord commanded him; he took his wife, 25 but knew her not until she had borne a son; and he called his name Jesus.	ADVENT IV	A	4	Matthew 1:18-25	18 Now the birth of Jesus Christ took place in this way. When his mother Mary had been betrothed to Joseph, before they came together she was found to be with child of the Holy Spirit; 19 and her husband Joseph, being a just man and unwilling to put her to shame, resolved to divorce her quietly. 20 But as he considered this, behold, an angel of the Lord appeared to him in a dream, saying, "Joseph, son of David, do not fear to take Mary your wife, for that which is conceived in her is of the Holy Spirit; 21 she will bear a son, and you shall call his name Jesus, for he will save his people from their sins." 22 All this took place to fulfil what the Lord had spoken by the prophet: 23 "Behold, a virgin shall conceive and bear a son, and his name shall be called Emmanuel" (which means, God with us). 24 When Joseph woke from sleep, he did as the angel of the Lord commanded him; he took his wife, 25 but knew her not until she had borne a son; and he called his name Jesus.				1016	Matthew	
HOLY FAMILY A 1	Sirach 3:2-7,12-14	Wisdom of Sirach	2 For the Lord honored the father above the children, and he confirmed the right of the mother over her sons. 3 Whoever honors his father atones for sins, 4 and whoever glorifies his mother is like one who lays up treasure. 5 Whoever honors his father will be gladdened by his own children, and when he prays he will be heard. 6 Whoever glorifies his father will have long life, and whoever obeys the Lord will refresh his mother; 7 he will serve his parents as his masters. 12 O son, help your father in his old age, and do not grieve him as long as he lives; 13 even if he is lacking in understanding, show forbearance; in all your strength do not despise him. 14 For kindness to a father will not be forgotten, and against your sins it will be credited to you;	HOLY FAMILY	A	1	Sirach 3:2-7,12-14	2 For the Lord honored the father above the children, and he confirmed the right of the mother over her sons. 3 Whoever honors his father atones for sins, 4 and whoever glorifies his mother is like one who lays up treasure. 5 Whoever honors his father will be gladdened by his own children, and when he prays he will be heard. 6 Whoever glorifies his father will have long life, and whoever obeys the Lord will refresh his mother; 7 he will serve his parents as his masters. 12 O son, help your father in his old age, and do not grieve him as long as he lives; 13 even if he is lacking in understanding, show forbearance; in all your strength do not despise him. 14 For kindness to a father will not be forgotten, and against your sins it will be credited to you;				1017	Sirach	
HOLY FAMILY A 2	Psalms 128	Book of Psalms	1 BLESSED are all they that fear the Lord * and walk in his ways. 2 For thou shalt eat the labours of thine hands * O well is thee, and happy shalt thou be. 3 Thy wife shall be as the fruitful vine * upon the walls of thine house. 4 Thy children like the olive-branches * round about thy table. 5 Lo, thus shall the man be blessed * that feareth the Lord.	HOLY FAMILY	A	2	Psalms 128:1-5	1 Blessed is every one who fears the LORD, who walks in his ways! 2 You shall eat the fruit of the labor of your hands; you shall be happy, and it shall be well with you. 3 Your wife will be like a fruitful vine within your house; your children will be like olive shoots around your table. 4 Lo, thus shall the man be blessed who fears the LORD. 5 The LORD bless you from Zion! May you see the prosperity of Jerusalem all the days of your life!		1 BLESSED are all they that fear the Lord * and walk in his ways. 2 For thou shalt eat the labours of thine hands * O well is thee, and happy shalt thou be. 3 Thy wife shall be as the fruitful vine * upon the walls of thine house. 4 Thy children like the olive-branches * round about thy table. 5 Lo, thus shall the man be blessed * that feareth the Lord.	Psalms128.1|Psalms128.2|Psalms128.3|Psalms128.4|Psalms128.5|	1018	Psalms	
HOLY FAMILY A 3	Colossians 3:12-21	Epistle of St Paul to the Colossians	12 Put on then, as God's chosen ones, holy and beloved, compassion, kindness, lowliness, meekness, and patience, 13 forbearing one another and, if one has a complaint against another, forgiving each other; as the Lord has forgiven you, so you also must forgive. 14 And above all these put on love, which binds everything together in perfect harmony. 15 And let the peace of Christ rule in your hearts, to which indeed you were called in the one body. And be thankful. 16 Let the word of Christ dwell in you richly, teach and admonish one another in all wisdom, and sing psalms and hymns and spiritual songs with thankfulness in your hearts to God. 17 And whatever you do, in word or deed, do everything in the name of the Lord Jesus, giving thanks to God the Father through him. 18 Wives, be subject to your husbands, as is fitting in the Lord. 19 Husbands, love your wives, and do not be harsh with them. 20 Children, obey your parents in everything, for this pleases the Lord. 21 Fathers, do not provoke your children, lest they become discouraged.	HOLY FAMILY	A	3	Colossians 3:12-21	12 Put on then, as God's chosen ones, holy and beloved, compassion, kindness, lowliness, meekness, and patience, 13 forbearing one another and, if one has a complaint against another, forgiving each other; as the Lord has forgiven you, so you also must forgive. 14 And above all these put on love, which binds everything together in perfect harmony. 15 And let the peace of Christ rule in your hearts, to which indeed you were called in the one body. And be thankful. 16 Let the word of Christ dwell in you richly, teach and admonish one another in all wisdom, and sing psalms and hymns and spiritual songs with thankfulness in your hearts to God. 17 And whatever you do, in word or deed, do everything in the name of the Lord Jesus, giving thanks to God the Father through him. 18 Wives, be subject to your husbands, as is fitting in the Lord. 19 Husbands, love your wives, and do not be harsh with them. 20 Children, obey your parents in everything, for this pleases the Lord. 21 Fathers, do not provoke your children, lest they become discouraged.				1019	Colossians	
