Code	Name	CodeAlt1	CodeAlt2	Notes
hz	Herero	her	her	Individual Living Otjiherero Otjiherero
hi	Hindi	hin	hin	Individual Living हिन्दी (Hindī)
ho	Hiri Motu	hmo	hmo	Individual Living Hiri Motu Police Motu; Pidgin Motu
hu	Hungarian	hun	hun	Individual Living Magyar nyelv Magyar
is	Icelandic	isl	ice	isl Individual Living Íslenska
io	Ido	ido	ido	Individual Constructed Ido
ig	Igbo	ibo	ibo	Individual Living ásụ̀sụ́ Ìgbò
id	Indonesian	ind	ind	Individual Living bahasa Indonesia covered by macrolanguage ms/msa. Changed in 1989 from original ISO 639:1988, in.^[271][3] Interlingua (International Auxiliary Language Association)
ie	Interlingue, Occidental	ile	ile	Individual Constructed Interlingue; Occidental
iu	Inuktitut	iku	iku	+ [278]2 Macrolanguage Living ᐃᓄᒃᑎᑐᑦ (Inuktitut)
ik	Inupiaq	ipk	ipk	+ [281]2 Macrolanguage Living Iñupiaq Inupiat; Inupiatun
ga	Irish	gle	gle	Individual Living Gaeilge Irish Gaelic
it	Italian	ita	ita	Individual Living Italiano
ja	Japanese	jpn	jpn	Individual Living 日本語 (Nihongo)
jv	Javanese	jav	jav	Individual Living ꦧꦱꦗꦮ; basa Jawa
kn	Kannada	kan	kan	Individual Living ಕನ್ನಡ (Kannađa) Kannadan; Canarese
kr	Kanuri	kau	kau	+ [294]3 Macrolanguage Living كَنُرِيِه; Kànùrí
ks	Kashmiri	kas	kas	Individual Living कॉशुर; كأشُر (Kosher) Koshur
kk	Kazakh	kaz	kaz	Individual Living Қазақша; Qazaqşa; قازاقشا Qazaq
km	Central Khmer	khm	khm	Individual Living ខេមរភាសា; (Khémôrôphéasa) Khmer; Cambodian
ki	Kikuyu, Gikuyu	kik	kik	Individual Living Gĩgĩkũyũ
rw	Kinyarwanda	kin	kin	Individual Living Ikinyarwanda Rwandan; Rwanda; Ikinyarwanda
ky	Kyrgyz, Kirghiz	kir	kir	Individual Living Кыргыз; قىرعىز
kv	Komi	kom	kom	+ [309]2 Macrolanguage Living Коми кыв Zyran; Zyrian; Komi-Zyryan
kg	Kongo	kon	kon	+ [312]3 Macrolanguage Living Kikongo Kikongo
ko	Korean	kor	kor	Individual Living 한국어 (Hangugeo) 조선말 (Chosŏnmal)
kj	Kuanyama, Kwanyama	kua	kua	Individual Living Oshikwanyama Cuanhama; Oshikwanyama
ku	Kurdish	kur	kur	+ [319]3 Macrolanguage Living کوردی; Kurdî
lo	Lao	lao	lao	Individual Living ພາສາລາວ (phasa Lao) Laotian
la	Latin	lat	lat	Individual Historical Latinum In use by several Christian organization of churches, and for sciences
lv	Latvian	lav	lav	+ [326]2 Macrolanguage Living Latviešu Lettish
li	Limburgan, Limburger, Limburgish	lim	lim	Individual Living Lèmburgs
ln	Lingala	lin	lin	Individual Living Lingála Ngala
lt	Lithuanian	lit	lit	Individual Living Lietuvių
lu	Luba-Katanga	lub	lub	Individual Living Kiluba Luba-Shaba
lb	Luxembourgish, Letzeburgesch	ltz	ltz	Individual Living Lëtzebuergesch Luxembourgian
mk	Macedonian	mkd	mac	mkd Individual Living Македонски (Makedonski)
mg	Malagasy	mlg	mlg	+ [341]11 Macrolanguage Living مَلَغَسِ; Malagasy
ms	Malay	msa	may	msa + [344]36 Macrolanguage Living بهاس ملايو (bahasa Melayu) [345]Standard Malay is zsm, [346]Indonesian is id/ind
ml	Malayalam	mal	mal	Individual Living മലയാളം (Malayāļã)
mt	Maltese	mlt	mlt	Individual Living Malti
gv	Manx	glv	glv	Individual Living Gaelg; Gailck Manx Gaelic
mi	Maori	mri	mao	mri Individual Living reo Māori
mr	Marathi	mar	mar	Individual Living मराठी (Marāṭhī) Maharashtran
mh	Marshallese	mah	mah	Individual Living kajin M̧ajel Ebon
mn	Mongolian	mon	mon	+ [361]2 Macrolanguage Living ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ; Монгол хэл (Mongol xel) Mongol
na	Nauru	nau	nau	Individual Living dorerin Naoe Nauruan
nv	Navajo, Navaho	nav	nav	Individual Living Diné bizaad; Naabeehó bizaad
nd	North Ndebele	nde	nde	Individual Living isiNdebele; saseNyakatho; Mthwakazi Ndebele Northern Ndebele
nr	South Ndebele	nbl	nbl	Individual Living isiNdebele; sakwaNdzundza Southern Ndebele
ng	Ndonga	ndo	ndo	Individual Living Ndonga Oshindonga
ne	Nepali	nep	nep	+ [374]2 Macrolanguage Living नेपाली भाषा (Nepālī bhāśā) Nepalese; Gorkhali
no	Norwegian	nor	nor	+ [377]2 Macrolanguage Living Norsk Bokmål is nb/nob, [379]Nynorsk is nn/nno
nb	Norwegian Bokmål	nob	nob	Individual Living Norsk Bokmål covered by macrolanguage no/nor
nn	Norwegian Nynorsk	nno	nno	Individual Living Norsk Nynorsk covered by macrolanguage no/nor
oc	Occitan	oci	oci	Individual Living Occitan; Provençal Provential; Provencal
oj	Ojibwa	oji	oji	+ [388]7 Macrolanguage Living ᐊᓂᔑᓈᐯᒧᐎᓐ (Anishinaabemowin) Ojibwe; Ojibway; Otchipwe; Ojibwemowin
or	Oriya	ori	ori	+ [391]2 Macrolanguage Living ଓଡ଼ିଆ (Odia) Odian; Odishan; Orissan
om	Oromo	orm	orm	+ [394]4 Macrolanguage Living afaan Oromoo Oromoo
os	Ossetian, Ossetic	oss	oss	Individual Living ирон Ӕвзаг (iron Ævzag) Ossete
pi	Pali	pli	pli	Individual Historical Pāli Pali-Magadhi
ps	Pashto, Pushto	pus	pus	+ [401]3 Macrolanguage Living پښتو (Pax̌tow)
fa	Persian	fas	per	fas + [404]2 Macrolanguage Living فارسی (Fārsiy) Farsi
pl	Polish	pol	pol	Individual Living Polski
pt	Portuguese	por	por	Individual Living Português
pa	Punjabi, Panjabi	pan	pan	Individual Living ਪੰਜਾਬੀ; پنجابی (Pãjābī)
qu	Quechua	que	que	+ [413]43 Macrolanguage Living Runa simi; kichwa simi; Nuna shimi Quechuan
ro	Romanian, [415]Moldavian, Moldovan	ron	rum	ron Individual Living Română; Ромынэ the identifiers mo and mol for Moldavian are deprecated. They will not be assigned to different items, and recordings using these identifiers will not be invalid.
rm	Romansh	roh	roh	Individual Living Rumantsch; Rumàntsch; Romauntsch; Romontsch Romansch
rn	Rundi	run	run	Individual Living Ikirundi Kirundi
ru	Russian	rus	rus	Individual Living Русский язык (Russkiĭ âzyk)
se	Northern Sami	sme	sme	Individual Living Davvisámegiella North Sami
sm	Samoan	smo	smo	Individual Living gagana Sāmoa
sg	Sango	sag	sag	Individual Living yângâ tî Sängö Sangoic
sa	Sanskrit	san	san	+ [431]2 Macrolanguage Historical संस्कृतम् (Saṃskṛtam) In use by some Indian states on judicial purposes
sc	Sardinian	srd	srd	+ [434]4 Macrolanguage Living Sardu Sard
sr	Serbian	srp	srp	Individual Living Српски (Srpski) Previously member language of [437]Serbo-Croatian with code sh deprecated in 2000, the ISO 639-2/T code srp deprecated the ISO 639-2/B code scc^[438][4]
sn	Shona	sna	sna	Individual Living chiShona
sd	Sindhi	snd	snd	Individual Living سنڌي; सिन्धी (Sindhī)
si	Sinhala, Sinhalese	sin	sin	Individual Living සිංහල (Siṁhala)
sk	Slovak	slk	slo	slk Individual Living Slovenčina Slovakian
sl	Slovenian	slv	slv	Individual Living Slovenščina Slovene
so	Somali	som	som	Individual Living Soomaali; 𐒈𐒝𐒑𐒛𐒐𐒘; سٝومالِ Somalian
st	Southern Sotho	sot	sot	Individual Living Sesotho Sesotho; Sotho
es	Spanish, Castilian	spa	spa	Individual Living Español; Castellano
su	Sundanese	sun	sun	Individual Living basa Sunda; ᮘᮞ ᮞᮥᮔ᮪ᮓ; بَاسَا سُوْندَا
sw	Swahili	swa	swa	+ [459]2 Macrolanguage Living Kiswahili; كِسوَحِيلِ Kiswahili
ss	Swati	ssw	ssw	Individual Living siSwati Swazi
sv	Swedish	swe	swe	Individual Living Svenska
tl	Tagalog	tgl	tgl	Individual Living Wikang Tagalog note: Filipino (Pilipino) has the code fil
ty	Tahitian	tah	tah	Individual Living reo Tahiti One of the Reo Mā`ohi (languages of [469]French Polynesia)^[470][5]
tg	Tajik	tgk	tgk	Individual Living Тоҷикӣ (Tojikī) Tajiki
ta	Tamil	tam	tam	Individual Living தமிழ் (Tamiḻ) Thamizh
tt	Tatar	tat	tat	Individual Living Татар теле; Tatar tele; تاتار تئلئ
te	Telugu	tel	tel	Individual Living తెలుగు (Telugu)
th	Thai	tha	tha	Individual Living ภาษาไทย (Phasa Thai) Central Thai; Siamese
bo	Tibetan	bod	tib	bod Individual Living བོད་སྐད་ (Bodskad); ལྷ་སའི་སྐད་ (Lhas'iskad) Standard Tibetan; Lhasa Tibetan
ti	Tigrinya	tir	tir	Individual Living ትግርኛ (Təgrəñña) Tigrigna
to	Tonga (Tonga Islands)	ton	ton	Individual Living lea faka-Tonga Tongan
ts	Tsonga	tso	tso	Individual Living Xitsonga Xitsonga
tn	Tswana	tsn	tsn	Individual Living Setswana Setswana; Sechuana
tr	Turkish	tur	tur	Individual Living Türkçe
tk	Turkmen	tuk	tuk	Individual Living Türkmençe; Түркменче; تۆرکمنچه
tw	Twi	twi	twi	Individual Living Twi covered by macrolanguage ak/aka
ug	Uighur, Uyghur	uig	uig	Individual Living ئۇيغۇر تىلى; Уйғур тили; Uyƣur tili
uk	Ukrainian	ukr	ukr	Individual Living Українська (Ukraїnska)
ur	Urdu	urd	urd	Individual Living اُردُو (Urduw)
uz	Uzbek	uzb	uzb	+ [505]2 Macrolanguage Living Ózbekça; ўзбекча; ئوزبېچه
ve	Venda	ven	ven	Individual Living Tshivenḓa Tshivenda
vi	Vietnamese	vie	vie	Individual Living tiếng Việt
vo	Volapük	vol	vol	Individual Constructed Volapük
wa	Walloon	wln	wln	Individual Living Walon
cy	Welsh	cym	wel	cym Individual Living Cymraeg
wo	Wolof	wol	wol	Individual Living وࣷلࣷفْ
xh	Xhosa	xho	xho	Individual Living isiXhosa Xosa
ii	Sichuan Yi, Nuosu	iii	iii	Individual Living ꆈꌠꉙ (Nuosuhxop) Northern Yi; Liangshan Yi; Nosu standard form of the Yi languages
yi	Yiddish	yid	yid	+ [525]2 Macrolanguage Living ייִדיש (Yidiš) Judeo-German Changed in 1989 from original ISO 639:1988, ji.^[526][3]
yo	Yoruba	yor	yor	Individual Living èdè Yorùbá
za	Zhuang, Chuang	zha	zha	+ [531]16 Macrolanguage Living 話僮 (Vahcuengh)
zu	Zulu	zul	zul	Individual Living isiZulu
